sample_date,station_code,year,month,organism_code,mean_cpue,total_grabs,phylum,class_level,order_level,family_level,genus,species,common_name,location,latitude,longitude
2012-05-24,D7-C,2012,May,0,4.81,4,No catch,No catch,No catch,No catch,No catch,No catch,No organisms in sample,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,1130,4.81,4,Nemertea,Enopla,Hoplonemertea,Tetrastemmatidae,Prostoma,graecense,"Nemertean, Ribbon Worm",Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,2550,168.27,4,Annelida,Oligochaeta,Tubificida,Naididae,Limnodrilus,hoffmeisteri,Tubificid Worm,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,2720,57.69,4,Annelida,Oligochaeta,Tubificida,Naididae,Tubificoides,heterochaetus,Tubificid Worm,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,3130,48.08,4,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,neglecta,"Spionid, Polychaete Worm",Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,3330,4.81,4,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,limnicola,Polychaete Worm,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,3390,4.81,4,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde,armigera,Polychaete Worm,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,3450,4.81,4,Annelida,Polychaeta,Sabellida,Sabellidae,Laonome,calida,Polychaete Worm,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,4230,134.62,4,Arthropoda,Crustacea,Cumacea,Leuconidae,Nippoleucon,hinumensis,Cumacean,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,4550,1504.81,4,Arthropoda,Crustacea,Amphipoda,Corophiidae,Sinocorophium,alienense,Amphipod,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,4610,33.65,4,Arthropoda,Crustacea,Amphipoda,Corophiidae,Americorophium,spinicorne,Amphipod,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,4630,67.31,4,Arthropoda,Crustacea,Amphipoda,Corophiidae,Americorophium,stimpsoni,Amphipod,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,4750,9.62,4,Arthropoda,Crustacea,Amphipoda,Gammaridae,Gammarus,daiberi,Amphipod,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,4892,4.81,4,Arthropoda,Crustacea,Decapoda,Crangonidae,Crangon,nigricauda,Blacktail Shrimp,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-05-24,D7-C,2012,May,6890,879.81,4,Mollusca,Bivalvia,Myoida,Corbulidae,Potamocorbula,amurensis,Brackish-water Corbula,Grizzly Bay at Dolphin near Suisun Slough (center),38.1171292,-122.0395539
2012-07-18,P8-R,2012,July,0,4.81,4,No catch,No catch,No catch,No catch,No catch,No catch,No organisms in sample,San Joaquin River at Buckley Cove (right),37.9778522,-121.3799929
2012-07-18,P8-R,2012,July,1230,1278.85,4,Nematoda,Adenophorea,Dorylaimida,Dorylaimidae,Dorylaimus,sp. A,Spear Neamtodes,San Joaquin River at Buckley Cove (right),37.9778522,-121.3799929
2012-07-18,P8-R,2012,July,2410,9.62,4,Annelida,Oligochaeta,Tubificida,Naididae,Aulodrilus,limnobius,Tubificid Worm,San Joaquin River at Buckley Cove (right),37.9778522,-121.3799929
