Girardia tigrina,planariid sp. A,turbellarian sp. A,paleonemertean sp. A,Prostoma graecense,Amphidelus sp. A,Teratocephalus sp. A,Dorylaimus sp. A,Actinolaiminae sp. A,mermithid sp. A,nematode sp. A,Chaetogaster limnaei,Dero digitata,Dero trifida,Nais communis / variabilis,Ophidonais serpentina,Paranais frici,Slavina appendiculata,Stylaria lacustris,Vejdovskyella intermedia,Aulodrilus limnobius,Aulodrilus pigueti,Aulodrilus japonicus,Bothrioneurum vejdovskyanum,Branchiura sowerbyi,Ilyodrilus frantzi,Ilyodrilus templetoni,Limnodrilus claparedianus,Limnodrilus hoffmeisteri,Limnodrilus udekemianus,Potamothrix bavaricus,Psammoryctides californianus,Quistadrilus multisetosus,Embolocephalus nikolskyi,Teneridrilus mastix,Tubificoides brownae,Tubificoides fraseri,Tubificoides heterochaetus,Varichaetadrilus angustipenis,enchytraeid sp. B,Sparganophilus eiseni,Altmanella freidris,Lumbriculus variegatus,Rhynchelmis rostrata,Mooreobdella microstoma,Boccardiella ligerica,Polydora cornuta,Pseudopolydora kempi,Streblospio benedicti,Marenzelleria neglecta,Heteromastus filiformis,Eteone lighti,Hediste limnicola,Alitta succinea,Manayunkia speciosa,Laonome calida,Herpetocypris brevicaudata,Isocypris sp. A,Candona sp. A,Cyprideis sp. A,Hyperacanthomysis longirostris,Neomysis mercedis,Balanus improvisus,Nippoleucon hinumensis,Sinelobus sp. A,Synidotea laevidorsalis,Asellus hilgendorfii,Caecidotea racovitzai,Gnorimosphaeroma insulare,Gnorimosphaeroma oregonensis,Uromunna sp. A,Ampelisca abdita,Monocorophium acherusicum,Sinocorophium alienense,Sinocorophium heteroceratum,Americorophium spinicorne,Americorophium stimpsoni,Grandidierella japonica,Crangonyx floridanus,Gammarus daiberi,Melita nitida,Hyalella sp. A,Palaemon macrodactylus,Crangon franciscorum,Rhithropanopeus harrisii,Stylurus olivaceus,Oxyethira sp. A,Procladius sp. A,Ablabesmyia sp. A,Chironomus attenuatus,Cryptochironomus sp. A,Cryptochironomus sp. B,Harnischia curtilamellata,Paracladopelma sp. A,Polypedilum sp. A,Psectrocladius sp. A,Fluminicola sp. A,Hydrobioidea sp. A,Hydrobioidea sp. D,Hydrobioidea sp. E,Gyraulus circumstriatus,Dilatata dilatatus,Helisoma anceps,Physa sp. A,Ferrissia californica,Melanoides tuberculata,Corbicula fluminea,Pisidium casertanum,Pisidium compressum,Limecola petalum,Mya arenaria,Potamocorbula amurensis
0,0,0,0,0,0,0,0,0,153.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14391.03,19974.36,0,0,0,0,0,6.41,0,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.64,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205,0,89.74499999999999,0,0,0,0,16.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5525.64,0,0,0,0,0,6.41,16.025,19.229999999999997,0,0,0,0,0,0,0,0,92.95,0,0,22.435000000000002,0,0,0,0,0,16.025,246.79500000000002,0,0,0,0,519.23,0,0,12.82,0,9.615,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23,0,0,19.23,51.28,0
0,0,0,2.1366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.76666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,811.9666666666667,0,2.1366666666666667,10.683333333333332,0,49.14333333333333,0,0,0,0,0,0,0,0,0,0,0,55.553333333333335,0,0,0,0,0,1638.8899999999999,2128.2033333333334,0,0,0,0,369.66,0,0,0,0,0,2.1366666666666667,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.92,4433.76,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205,0,1855.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,9.615,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,38.459999999999994,2836.54,0,0,0,0,0,0,0,28.845,0,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.459999999999994,0,0,3.205,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.870000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.255,0,0,0,0,0,0,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64,0,0
0,0,0,0,35.254999999999995,0,73.715,0,0,349.36,0,0,0,0,0,0,0,0,0,0,0,0,12.82,0,0,9.615,19.23,0,464.74,0,0,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.105,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9570.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.28,0,0,0,0,0,0,0,0,0,0,0,0,2240.3849999999998,0,0,0,0,0
0,0,0,3.205,0,0,262.82,0,0,9.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012.8200000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,96.155,0,0,0,0,0,0,0,0,0,23647.435,9618.59,0,0,0,0,0,6.41,0,96.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961.5350000000001,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.36000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,0,0,0,0,0,0,0,28.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.205,0,0,0,0,0,3.205,0,0,0,0,3.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.229999999999997,12.82,0
0,0,0,0,97.9842857142857,0,14.651428571428571,0,0,39.37571428571429,0,0,0,0,0,0,0,0,0,0,0,0,2.7471428571428573,0,0,16.482857142857142,0,0,249.08285714285714,0,0,0,4.578571428571428,0.9157142857142857,0,0,0,0,0,0,0,0,0,3.662857142857143,0,0,0,0,0,0,0,0,5.494285714285715,0,347.07,0,0,7.325714285714286,10.988571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.86,2108.058571428571,0,0,0,0,0,0,0,0,0,0,0.9157142857142857,0,0,0,0,0,0,0,0.9157142857142857,0,0,0,0,0,0,0,0,0,0,2849.8157142857144,0,0,0,0,0
