station_code,year
D4-L,1975
D28A-L,1977
D4-L,1977
D7-C,1977
D4-L,1978
D7-C,1978
D28A-L,1979
D4-L,1979
D7-C,1979
D28A-L,1980
D4-L,1980
D7-C,1980
D28A-L,1981
D4-L,1981
D7-C,1981
D28A-L,1982
D4-L,1982
D7-C,1982
D28A-L,1983
D4-L,1983
D7-C,1983
D28A-L,1984
D4-L,1984
D7-C,1984
D28A-L,1985
D4-L,1985
D7-C,1985
D28A-L,1986
D4-L,1986
D7-C,1986
D28A-L,1987
D4-L,1987
D7-C,1987
D28A-L,1988
D4-L,1988
D7-C,1988
D28A-L,1989
D4-L,1989
D7-C,1989
D28A-L,1990
D4-L,1990
D7-C,1990
D28A-L,1991
D4-L,1991
D7-C,1991
D28A-L,1992
D4-L,1992
D7-C,1992
D28A-L,1993
D4-L,1993
D7-C,1993
D28A-L,1994
D4-L,1994
D7-C,1994
D28A-L,1995
D4-L,1995
D7-C,1995
D28A-L,1996
D4-L,1996
D7-C,1996
D28A-L,1997
D4-L,1997
D7-C,1997
D28A-L,1998
D4-L,1998
D7-C,1998
D28A-L,1999
D4-L,1999
D7-C,1999
D28A-L,2000
D4-L,2000
D7-C,2000
D28A-L,2001
D4-L,2001
D7-C,2001
D28A-L,2002
D4-L,2002
D7-C,2002
D28A-L,2003
D4-L,2003
D7-C,2003
D28A-L,2004
D4-L,2004
D7-C,2004
D28A-L,2005
D4-L,2005
D7-C,2005
D28A-L,2006
D4-L,2006
D7-C,2006
D28A-L,2007
D4-L,2007
D7-C,2007
D28A-L,2008
D4-L,2008
D7-C,2008
D28A-L,2009
D4-L,2009
D7-C,2009
D28A-L,2010
D4-L,2010
D7-C,2010
D28A-L,2011
D4-L,2011
D7-C,2011
D28A-L,2012
D4-L,2012
D7-C,2012
D28A-L,2013
D4-L,2013
D7-C,2013
D28A-L,2014
D4-L,2014
D7-C,2014
D28A-L,2015
D4-L,2015
D7-C,2015
D28A-L,2016
D4-L,2016
D7-C,2016
D28A-L,2017
D4-L,2017
D7-C,2017
D28A-L,2018
D4-L,2018
D7-C,2018
D28A-L,2019
D4-L,2019
D7-C,2019
D28A-L,2020
D4-L,2020
D7-C,2020
D28A-L,2021
D4-L,2021
D7-C,2021
