organism_code,taxon_worms,genus,species,in_database,link
2490,Branchiura sowerbyi,Branchiura,sowerbyi,S,https://invasions.si.edu/nemesis/species_summary/68621
2730,Varichaetadrilus angustipenis,Varichaetadrilus,angustipenis,S,https://invasions.si.edu/nemesis/species_summary/68653
3050,Boccardiella ligerica,Boccardiella,ligerica,Y,https://invasions.si.edu/nemesis/species_summary/67012
3090,Pseudopolydora kempi,Pseudopolydora,kempi,Y,https://invasions.si.edu/nemesis/species_summary/66927
3110,Streblospio benedicti,Streblospio,benedicti,Y,https://invasions.si.edu/nemesis/species_summary/66939
3130,Marenzelleria neglecta,Marenzelleria,neglecta,Y,https://invasions.si.edu/nemesis/species_summary/-684
3170,Heteromastus filiformis,Heteromastus,filiformis,Y,https://invasions.si.edu/nemesis/species_summary/67420
3370,Alitta succinea,Alitta,succinea,Y,https://invasions.si.edu/nemesis/species_summary/-48
3430,Manayunkia speciosa,Manayunkia,speciosa,N,
3450,Laonome calida,Laonome,calida,Y,https://invasions.si.edu/nemesis/species_summary/-173
4150,Amphibalanus improvisus,Balanus,improvisus,Y,https://invasions.si.edu/nemesis/species_summary/89622
4230,Nippoleucon hinumensis,Nippoleucon,hinumensis,Y,https://invasions.si.edu/nemesis/species_summary/-239
4270,Sinelobus stanfordi,Sinelobus,sp. A,Y,https://invasions.si.edu/nemesis/species_summary/-235
4310,Synidotea laticauda,Synidotea,laevidorsalis,Y,https://invasions.si.edu/nemesis/species_summary/546963
4410,Uromunna,Uromunna,sp. A,Y,https://invasions.si.edu/nemesis/species_summary/-438
4510,Ampelisca abdita,Ampelisca,abdita,Y,https://invasions.si.edu/nemesis/species_summary/93329
4550,Sinocorophium alienense,Sinocorophium,alienense,Y,https://invasions.si.edu/nemesis/species_summary/93610
4670,Grandidierella japonica,Grandidierella,japonica,Y,https://invasions.si.edu/nemesis/species_summary/-82
4750,Gammarus daiberi,Gammarus,daiberi,Y,https://invasions.si.edu/nemesis/species_summary/93779
4950,Rhithropanopeus harrisii,Rhithropanopeus,harrisii,Y,https://invasions.si.edu/nemesis/species_summary/98790
6630,Melanoides tuberculata,Melanoides,tuberculata,Y,https://invasions.si.edu/nemesis/species_summary/71533
6730,Corbicula fluminea,Corbicula,fluminea,Y,https://invasions.si.edu/nemesis/species_summary/81387
6810,Macoma petalum,Limecola,petalum,Y,https://invasions.si.edu/nemesis/species_summary/-204
6890,Potamocorbula amurensis,Potamocorbula,amurensis,Y,https://invasions.si.edu/nemesis/species_summary/81746
