organism_code,taxon_worms,genus,species,native,in_database,body_length_max_mm,citation,notes,link
2490,Branchiura sowerbyi,Branchiura,sowerbyi,0,S,,,in database but no info yet (4/11/2023),https://invasions.si.edu/nemesis/species_summary/68621
2730,Varichaetadrilus angustipenis,Varichaetadrilus,angustipenis,0,S,,,in database but no info yet (4/11/2023),https://invasions.si.edu/nemesis/species_summary/68653
3050,Boccardiella ligerica,Boccardiella,ligerica,0,Y,18,Blake and Woodwick 1971,,https://invasions.si.edu/nemesis/species_summary/67012
3090,Pseudopolydora kempi,Pseudopolydora,kempi,0,Y,22,Japan: Sato-Okoshi 2000,San Francisco Bay: averaged 12 mm (Light 1978),https://invasions.si.edu/nemesis/species_summary/66927
3110,Streblospio benedicti,Streblospio,benedicti,0,Y,9.7,Levin and Creed 1986,,https://invasions.si.edu/nemesis/species_summary/66939
3130,Marenzelleria neglecta,Marenzelleria,neglecta,0,Y,115,Sikorski and Bick 2004,,https://invasions.si.edu/nemesis/species_summary/-684
3170,Heteromastus filiformis,Heteromastus,filiformis,0,Y,180,Hutchings and Rainer (1982),species complex; multiple sizes and associated references listed,https://invasions.si.edu/nemesis/species_summary/67420
3370,Alitta succinea,Alitta,succinea,0,Y,170,Pettibone 1963,,https://invasions.si.edu/nemesis/species_summary/-48
3430,Manayunkia speciosa,Manayunkia,speciosa,0,N,,,considered cryptogenic which probably explains absence,
3450,Laonome calida,Laonome,calida,0,Y,15,Capa et al. 2011,,https://invasions.si.edu/nemesis/species_summary/-173
4150,Amphibalanus improvisus,Balanus,improvisus,0,Y,17,Henry and McLauglin 1975,maximum adult width; webpage also lists height,https://invasions.si.edu/nemesis/species_summary/89622
4230,Nippoleucon hinumensis,Nippoleucon,hinumensis,0,Y,5.5,Gamo 1967,"Female paratype, Japan. The male holotype is 3.7 mm",https://invasions.si.edu/nemesis/species_summary/-239
4270,Sinelobus stanfordi,Sinelobus,sp. A,0,Y,3.6,Gardiner 1975,as Sinelobus cf. stanfordi; 3.0 for females,https://invasions.si.edu/nemesis/species_summary/-235
4310,Synidotea laticauda,Synidotea,laevidorsalis,0,Y,25.3,Spain: Cuesta et al. 1996,"probably male; female, 16 mm (Netherlands, Faasse 2011)",https://invasions.si.edu/nemesis/species_summary/546963
4410,Uromunna,Uromunna,sp. A,0,Y,1.5,Schultz 1969,citation is for Uromunna reynoldsi,https://invasions.si.edu/nemesis/species_summary/-438
4510,Ampelisca abdita,Ampelisca,abdita,0,Y,8.2,"Mills 1964a, Bousfield 1973",adults,https://invasions.si.edu/nemesis/species_summary/93329
4550,Sinocorophium alienense,Sinocorophium,alienense,0,Y,6.4,Chapman 1988,adult female,https://invasions.si.edu/nemesis/species_summary/93610
4670,Grandidierella japonica,Grandidierella,japonica,0,Y,22,Chapman and Dorman 1975,"adult male, 13 mm adult female ",https://invasions.si.edu/nemesis/species_summary/-82
4750,Gammarus daiberi,Gammarus,daiberi,0,Y,12.5,Bousfield 1969,Adult males range from 8 to 12.5 mm. Females are 6-8 mm,https://invasions.si.edu/nemesis/species_summary/93779
4950,Rhithropanopeus harrisii,Rhithropanopeus,harrisii,0,Y,21.3,Williams 1984,"maximum width. Adult male. Adult female, 16 mm",https://invasions.si.edu/nemesis/species_summary/98790
6630,Melanoides tuberculata,Melanoides,tuberculata,0,Y,36,Thompson 2004,,https://invasions.si.edu/nemesis/species_summary/71533
6730,Corbicula fluminea,Corbicula,fluminea,0,Y,60,McMahon 1983,,https://invasions.si.edu/nemesis/species_summary/81387
6810,Macoma petalum,Limecola,petalum,0,Y,38,"Abbott 1974, as M. balthica; Gosner 1978",,https://invasions.si.edu/nemesis/species_summary/-204
6890,Potamocorbula amurensis,Potamocorbula,amurensis,0,Y,27.5,Carlton et al. 1990,,https://invasions.si.edu/nemesis/species_summary/81746
