Citation_title,Citation_complete
(Part 1) Baetine mayflies from Florida (Ephemeroptera),"Berner, L. 1940. Baetine mayflies from Florida (Ephemeroptera) (Part 1). The Florida Entomologist 23(3):33-62."
(Part 2) Baetine mayflies from Florida (Ephemeroptera),"Berner, L. 1940. Baetine mayflies from Florida (Ephemeroptera) (Part 2). The Florida Entomologist 23(4):49-62."
A check list of the Trichoptera (caddis flies) of New Hampshire.,"Morse, W. J. and R. L. Blickle (1953). ""A check list of the Trichoptera (caddis flies) of New Hampshire."" Entomological News 64: 68-73; 97-102."
A checklist of caddisflies (Trichoptera) from Massachusetts.,"Holeski, P. M. (1979). ""A checklist of caddisflies (Trichoptera) from Massachusetts."" Entomological News 90(4): 167-175."
A checklist of the stoneflies (Plecoptera) of Virginia.,"Kondratieff, B. C. and J. R. Voshell (1979). ""A checklist of the stoneflies (Plecoptera) of Virginia."" Entomological News 90(5): 241-246."
A comparative study of the North American species in the caddisfly genus Mystacides,"Yamamoto, T., and G. B. Wiggins. 1964. A comparative study of the North American species in the caddisfly genus Mystacides (Trichoptera: Leptoceridae). Canadian Journal of Zoology 42:1105-1126."
A contribution to the biolgoy of caddisflies (Trichoptera) in temporary pools.,"Wiggins, G. B. (1973). ""A contribution to the biolgoy of caddisflies (Trichoptera) in temporary pools."" Life Sciences Contributions, Royal Ontario Museum 88: 1-28."
A description of the female of Hydroptila jackmanni Blickle with biological notes,"Huryn, A. D. 1983. A description of the female of Hydroptila jackmanni Blickle (Trichoptera: Hydroptilidae), with biological notes. Entomological News 94(3):93-94."
A description of the immature stages of Paduniella nearctica with notes on its biology,"Mathis, M. L., and D. E. Bowles. 1994. A description of the immature stages of Paduniella nearctica (Trichoptera: Psychomyiidae) with notes on its biology. Journal of the New York Entomological Society 102(3):361-366."
A description of the larva and pupa of Glossosoma nigrior Banks,"Neubauer, C. P., and E. E. Robertson. 1985. A description of the larva and pupa of Glossosoma nigrior Banks (Trichoptera: Glossosomatidae). Journal of Entomological Science 20(3):300-304."
A distinctive new species of Stenonema (Ephemeroptera: Heptageniidae) from Kentucky and Missouri,"McCafferty, W. P. 1981. A distinctive new species of Stenonema (Ephemeroptera: Heptageniidae) from Kentucky and Missouri. Proceedings of the Entomological Society of Washington 83(3):512-515."
A distributional study of the caddisflies of Kentucky,"Resh, V. H. 1975. A distributional study of the caddisflies of Kentucky. Transactions of the Kentucky Academy of Science 36(1-2):6-16."
A few new caddis flies in the collection of the California Academy of Science.,"Ling, S.-W. 1938. A few new caddis flies in the collection of the California Academy of Science. The Pan-Pacific Entomologist 14(2):59-69."
A first list of Indiana stoneflies (Plecoptera,"Ricker, W. E. 1945. A first list of Indiana stoneflies (Plecoptera). Proceedings of the Indiana Academy of Science 54:225-230."
A guide to the stoneflies (Plecoptera) of Florida,"Pescador, M. L., A. K. Rasmussen, and B. A. Richard. 2000. A guide to the stoneflies (Plecoptera) of Florida. Florida Department of Environmental Protection: Division of Water Resource Management, Tallahassee."
A hierarchical classification of the Timpanoginae and description of a new species from Quebec,"McCafferty, W. P. 2000. A hierarchical classification of the Timpanoginae (Ephemeroptera: Ephemerellidae) and description of a new species from Québec. Annals of Limnology 36(3):157-161."
A laboratory study of the vulnerability of prey to predation by three aquatic insects.,"Fuller, R. L., and P. A. DeStaffan. 1987. A laboratory study of the vulnerability of prey to predation by three aquatic insects. Canadian Journal of Zoology 66:875-878."
A manual for the identification of the larvae of the caddisfly genera Hydropsyche,"Schuster, G. A., and D. A. Etnier. 1978. A manual for the identification of the larvae of the caddisfly genera Hydropsyche Pictet and Symphitopsyche Ulmer in eastern and central North America (Trichoptera: Hydropsychidae). Environmental Protection Agency,"
A Monograph of the Plecoptera or Stoneflies of America North of Mexico,"Needham, J. G., and P. W. Claassen. 1925. A Monograph of the Plecoptera or Stoneflies of America North of Mexico. The Thomas Say Foundation, LaFayette, IN."
A new Allocapnia from Virginia (Plecoptera: Capniidae),"Kirchner, R. F. 1980. A new Allocapnia from Virginia (Plecoptera: Capniidae). Entomological News 91(1):19-21."
A new Allocapnia from West Virginia (Plecoptera: Capniidae),"Kirchner, R. F. 1982. A new Allocapnia from West Virginia (Plecoptera: Capniidae). Proceedings of the Entomological Society of Washington 84(4):786-790."
A new Baetis from Michigan,"Leonard, J. W. 1950. A new Baetis from Michigan. Annals Entomological Society of America 43(1):155-159."
A new classification of the subfamily Ephemerellinae and the description of a new genus,"Allen, R. K. 1984. A new classification of the subfamily Ephemerellinae and the description of a new genus. Pan-Pacific Entomologist 60(3):245-247."
A new Diploperla from West Virginia (Plecoptera: Perlodidae),"Kirchner, R. F., and B. C. Kondratieff. 1984. A new Diploperla from West Virginia (Plecoptera: Perlodidae). Proceedings of the Entomological Society of Washington 86(3):648-652."
A new distributional record for the sand-burrowing mayfly Dolania americana,"Jacobs, W. L. 1990. A new distributional record for the sand-burrowing mayfly Dolania americana (Ephemeroptera: Behningiidae). Entomological News 101(4):219-221."
A new Ephemerella from Illinois,"McDunnough, J. 1927. A new Ephemerella from Illinois (Ephemeroptera). The Canadian Entomologist 59:10."
A new Gammarus (Crustacea: Amphipoda) from Tennessee.,"Bousfield, E. L. 1971. A new Gammarus (Crustacea: Amphipoda) from Tennessee. The American Midland Naturalist 85(1):247-253."
A new genus and five new species of Trichoptera.,"Denning, D. G. 1949. A new genus and five new species of Trichoptera. Journal of the Kansas Entomological Society 22(3):88-93."
A New genus and species of Trichoptera.,"Denning, D. G. 1971. A New genus and species of Trichoptera. The Pan-Pacific Entomologist 47(3):202-210."
A new genus of Limnephilidae,"Denning, D. G. 1953. A new genus of Limnephilidae. The Pan-Pacific Entomologist 29(3):165-169."
A new genus of mayflies from Western North America (Leptophlebiinae),"Edmunds, G. F., Jr. 1948. A new genus of mayflies from western North America (Leptophlebiinae). Proceedings of the Biological Society of Washington 61:141-148."
A new Glyphopsyche Banks (Trichoptera: Limnephilidae) from Southeastern Tennessee,"Etnier, D. A., and R. L. Hix. 1999. A new Glyphopsyche Banks (Trichoptera: Limnephilidae) from Southeastern Tennessee. Proceedings of the Entomological Society of Washington 101(3):624-630."
A new Heptagenia (Ephemeroptera: Heptageniidae) from the,"Evans, J. L., W. F. Botts Jr. and R. W. Flowers. 1985. A New Heptagenia (Ephemeroptera: Heptageniidae) from the Susquehanna and Delaware Rivers from Eastern North America. Annals of the Entomological Society of America 78:5-7."
A new Lanthus (Odonata: Gomphidae) from eastern North America with adult and nymphal keys,"Carle, F. L. 1980. A new Lanthus (Odonata: Gomphidae) from eastern North America with adult and nymphal keys to American Octogomphines. Annals of the Entomological Society of America 73:172-179."
A new larval record of Perlinella drymo (Plecoptera: Perlidae) for Michigan,"Bright, E. 1996. A new larval record of Perlinella drymo (Plecoptera: Perlidae) for Michigan. The Great Lakes Entomologist 29(1):39-42."
A new mayfly genus from North Carolina.,"Traver, J. R. 1931. A new mayfly genus from North Carolina. The Canadian Entomologist 63:103-109."
