organism_code,target_taxon_name,target_taxon_level,target_genus,target_family,lit_taxon_level,lit_taxon_name,lit_genus,lit_family,database,trait_record_id,citation,population_state,population_description,study_latitude,study_longitude,trait_group,trait_value,trait_unit
2090,Dero trifida,Species,Dero,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2270,Slavina appendiculata,Species,Slavina,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2410,Aulodrilus limnobius,Species,Aulodrilus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2430,Aulodrilus pigueti,Species,Aulodrilus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2450,Aulodrilus japonicus,Species,Aulodrilus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2470,Bothrioneurum vejdovskyanum,Species,Bothrioneurum,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2490,Branchiura sowerbyi,Species,Branchiura,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2510,Ilyodrilus frantzi,Species,Ilyodrilus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2530,Ilyodrilus templetoni,Species,Ilyodrilus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2550,Limnodrilus hoffmeisteri,Species,Limnodrilus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2570,Limnodrilus udekemianus,Species,Limnodrilus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2610,Psammoryctides californianus,Species,Psammoryctides,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2630,Quistadrilus multisetosus,Species,Quistadrilus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2650,Embolocephalus nikolskyi,Species,Embolocephalus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2720,Tubificoides heterochaetus,Species,Tubificoides,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2730,Varichaetadrilus angustipenis,Species,Varichaetadrilus,Naididae,family,Ophidonais serpentina,Ophidonais,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2840,Altmanella freidris,Species,Altmanella,Lumbriculidae,family,Lumbriculus spp.,Lumbriculus,Lumbriculidae,USGS,7607,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,100,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,family,Dina anoculata,Dina,Erpobdellidae,USGS,6439,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Pacific Northwest (coastal),NA,NA,body_size_max,12.5,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,family,Dina dubia,Dina,Erpobdellidae,USGS,6444,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,40,mm
2970,Mooreobdella microstoma,Species,Mooreobdella,Erpobdellidae,family,Dina parva,Dina,Erpobdellidae,USGS,6445,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,27.5,mm
