taxon,program,station,lat_wgs84,long_wgs84
benthic,EMP,D7-C,38.11713,-122.0396
benthic,EMP,D4-L,38.05812,-121.8193
benthic,EMP,D28A-L,37.97017,-121.5741
zooplankton,EMP,92,37.97833,-121.3819
zooplankton,EMP,D28,37.98278,-121.5772
zooplankton,EMP,54,38.04583,-121.9064
zooplankton,EMP,74,38.02222,-121.8036
zooplankton,EMP,M10,38.04361,-121.4264
zooplankton,EMP,48,38.06,-121.9958
zooplankton,EMP,86,38.07778,-121.5703
zooplankton,EMP,64,38.08472,-121.7381
zooplankton,EMP,60,38.06444,-121.8289
zooplankton,EMP,28,38.11722,-122.0472
phytoplankton,EMP,D7,38.11714,-122.0397
phytoplankton,EMP,D8,38.05992,-121.99
phytoplankton,EMP,C3,38.34575,-121.5461
phytoplankton,EMP,D26,38.07664,-121.5669
phytoplankton,EMP,P8,37.97817,-121.3823
phytoplankton,EMP,D4-L,38.06248,-121.8205
fishes,FMWT,305,37.9987,-122.4086
fishes,FMWT,306,38.00042,-122.41488
fishes,FMWT,307,38.00472,-122.4192
fishes,FMWT,308,38.01745,-122.40438
fishes,FMWT,309,38.01442,-122.39387
fishes,FMWT,310,38.0297,-122.37355
fishes,FMWT,311,38.02087,-122.37743
fishes,FMWT,314,38.02812,-122.41167
fishes,FMWT,315,38.03815,-122.3936
fishes,FMWT,321,38.03612,-122.36103
fishes,FMWT,322,38.02363,-122.35078
fishes,FMWT,323,38.02853,-122.32817
fishes,FMWT,325,38.05605,-122.2955
fishes,FMWT,326,38.04038,-122.29592
fishes,FMWT,327,38.04772,-122.36672
fishes,FMWT,328,38.06005,-122.34842
fishes,FMWT,329,38.06312,-122.30588
fishes,FMWT,334,38.07553,-122.33933
fishes,FMWT,335,38.0705,-122.3243
fishes,FMWT,336,38.06275,-122.27875
fishes,FMWT,337,38.0595,-122.27232
fishes,FMWT,338,38.06003,-122.24892
fishes,FMWT,339,38.0667,-122.2568
fishes,FMWT,340,38.10508,-122.26988
fishes,FMWT,401,38.05758,-122.21245
fishes,FMWT,403,38.04883,-122.17192
fishes,FMWT,404,38.04645,-122.17887
fishes,FMWT,405,38.03353,-122.15815
fishes,FMWT,406,38.028,-122.15057
fishes,FMWT,407,38.03298,-122.14515
fishes,FMWT,408,38.03513,-122.12897
fishes,FMWT,409,38.04455,-122.10637
fishes,FMWT,410,38.04883,-122.09647
fishes,FMWT,411,38.06117,-122.06828
fishes,FMWT,412,38.06462,-122.06007
fishes,FMWT,413,38.06595,-122.0473
fishes,FMWT,414,38.05213,-122.11128
fishes,FMWT,415,38.05678,-122.10772
fishes,FMWT,416,38.0702,-122.09415
fishes,FMWT,417,38.08075,-122.083
fishes,FMWT,418,38.09383,-122.06973
fishes,FMWT,501,38.06167,-122.01955
fishes,FMWT,502,38.05997,-122.00397
fishes,FMWT,503,38.06022,-121.9832
fishes,FMWT,504,38.05945,-121.9767
fishes,FMWT,505,38.05713,-121.95597
fishes,FMWT,507,38.05228,-121.939
fishes,FMWT,508,38.04813,-121.91492
fishes,FMWT,509,38.04547,-121.90412
fishes,FMWT,510,38.04888,-121.88783
fishes,FMWT,511,38.0513,-121.88
fishes,FMWT,512,38.05638,-121.87722
fishes,FMWT,513,38.0592,-121.86842
fishes,FMWT,515,38.092,-122.01472
fishes,FMWT,516,38.07867,-121.99408
fishes,FMWT,517,38.07022,-121.97938
fishes,FMWT,518,38.06875,-121.96802
fishes,FMWT,519,38.07378,-121.94725
fishes,FMWT,601,38.1031,-122.0356
fishes,FMWT,602,38.11783,-122.04183
fishes,FMWT,603,38.11552,-122.04805
fishes,FMWT,604,38.12163,-122.05717
fishes,FMWT,605,38.14853,-122.05738
fishes,FMWT,606,38.1698,-122.02177
fishes,FMWT,608,38.0887,-121.88332
fishes,FMWT,701,38.06505,-121.83475
fishes,FMWT,703,38.06087,-121.79692
fishes,FMWT,704,38.07087,-121.77892
fishes,FMWT,705,38.07925,-121.7618
fishes,FMWT,706,38.0903,-121.74
fishes,FMWT,707,38.11397,-121.70797
fishes,FMWT,708,38.12608,-121.6967
fishes,FMWT,709,38.14787,-121.69048
fishes,FMWT,710,38.162,-121.68228
fishes,FMWT,711,38.17595,-121.67028
fishes,FMWT,802,38.03528,-121.83875
fishes,FMWT,804,38.02308,-121.79868
fishes,FMWT,806,38.02872,-121.7617
fishes,FMWT,807,38.02995,-121.73203
fishes,FMWT,808,38.03337,-121.71942
fishes,FMWT,809,38.0512,-121.69305
fishes,FMWT,810,38.07083,-121.67622
fishes,FMWT,811,38.09742,-121.66487
fishes,FMWT,812,38.08792,-121.64883
fishes,FMWT,813,38.09978,-121.62767
fishes,FMWT,814,38.10128,-121.6022
fishes,FMWT,815,38.0913,-121.57587
fishes,FMWT,902,38.0205,-121.58255
fishes,FMWT,903,38.10628,-121.56747
fishes,FMWT,904,38.07828,-121.56847
fishes,FMWT,905,38.05953,-121.55573
fishes,FMWT,906,38.05412,-121.51653
fishes,FMWT,908,38.04308,-121.5298
fishes,FMWT,909,38.02442,-121.46705
fishes,FMWT,910,38.00228,-121.45037
fishes,FMWT,911,37.99247,-121.40875
fishes,FMWT,912,37.96883,-121.37172
fishes,FMWT,913,37.97012,-121.53705
fishes,FMWT,914,37.94662,-121.53475
fishes,FMWT,915,37.949,-121.55908
