target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,sfe_data,trait_group,trait_value,trait_unit,notes
Acartia spp.,Genus,Acartia californiensis,Species,congener,Trujillo-Ortiz 1986,0,body_length_max,0.92,mm,male
Acartia spp.,Genus,Acartia californiensis,Species,congener,Razouls et al. 2005,0,body_length_max,0.96,mm,male
Acartia spp.,Genus,Acartia californiensis,Species,congener,Razouls et al. 2005,0,body_length_max,1.04,mm,female
Acartia spp.,Genus,Acartia californiensis,Species,congener,Trujillo-Ortiz 1986,0,body_length_max,1.1,mm,female
Acartia spp.,Genus,Acartia hudsonica,Species,congener,Bradford-Grieve 1999,0,body_length_max,1.07,mm,male
Acartia spp.,Genus,Acartia hudsonica,Species,congener,Razouls et al. 2005,0,body_length_max,1.07,mm,male
Acartia spp.,Genus,Acartia hudsonica,Species,congener,Bradford-Grieve 1999,0,body_length_max,1.32,mm,female
Acartia spp.,Genus,Acartia hudsonica,Species,congener,Razouls et al. 2005,0,body_length_max,1.32,mm,female
Acartia spp.,Genus,Acartia tonsa,Species,congener,Bradford-Grieve 1999,0,body_length_max,1.1,mm,male
Acartia spp.,Genus,Acartia tonsa,Species,congener,Hirst and Kiorboe 2014,0,body_length_max,1.1,mm,male
Acartia spp.,Genus,Acartia tonsa,Species,congener,John and Conway 2012,0,body_length_max,1.1,mm,male
Acartia spp.,Genus,Acartia tonsa,Species,congener,Nielsen and Hansen 1999,0,body_length_max,1.1,mm,male
Acartia spp.,Genus,Acartia tonsa,Species,congener,Razouls et al. 2005,0,body_length_max,1.34,mm,male
Acartia spp.,Genus,Acartia tonsa,Species,congener,Bradford-Grieve 1999,0,body_length_max,1.5,mm,female
Acartia spp.,Genus,Acartia tonsa,Species,congener,Hirst and Kiorboe 2014,0,body_length_max,1.5,mm,female
Acartia spp.,Genus,Acartia tonsa,Species,congener,John and Conway 2012,0,body_length_max,1.5,mm,female
Acartia spp.,Genus,Acartia tonsa,Species,congener,Nielsen and Hansen 1999,0,body_length_max,1.5,mm,female
Acartia spp.,Genus,Acartia tonsa,Species,congener,Razouls et al. 2005,0,body_length_max,1.5,mm,female
Acartiella sinensis,Species,Acartiella sinensis,Species,target,Razouls et al. 2005,0,body_length_max,1.23,mm,male
Acartiella sinensis,Species,Acartiella sinensis,Species,target,Orsi and Ohtsuka 1999,1,body_length_max,1.34,mm,male
Acartiella sinensis,Species,Acartiella sinensis,Species,target,Razouls et al. 2005,0,body_length_max,1.48,mm,female
Acartiella sinensis,Species,Acartiella sinensis,Species,target,Orsi and Ohtsuka 1999,1,body_length_max,1.64,mm,female
Bosmina longirostris,Species,Bosmina longirostris,Species,target,Lynch 1980,0,body_length_max,0.52,mm,See Table 1 of reference
Daphnia spp.,Genus,Daphnia lumholtzi,Species,congener,Lynch 1980,0,body_length_max,1.64,mm,See Table 1 of reference
Daphnia spp.,Genus,Daphnia lumholtzi,Species,congener,Muzinic 2000,0,body_length_max,5.3,mm,male; Lake Erie (The length includes spines)
Daphnia spp.,Genus,Daphnia lumholtzi,Species,congener,Muzinic 2000,0,body_length_max,5.7,mm,female; Lake Erie (The length includes spines)
Daphnia spp.,Genus,Daphnia magna,Species,congener,Lynch 1980,0,body_length_max,5.9,mm,See Table 1 of reference
Eurytemora affinis,Species,Eurytemora affinis affinis,Species,target - complex,Nielsen and Hansen 1999,0,body_length_max,1.1,mm,male
Eurytemora affinis,Species,Eurytemora affinis affinis,Species,target - complex,Nielsen and Hansen 1999,0,body_length_max,1.5,mm,female
Eurytemora carolleeae,Species,Eurytemora affinis,Species,target - complex,Heron and Damkaer 1976,0,body_length_max,1.65,mm,male
