target_aphia_id,target_taxon_name,target_taxon_level,lit_aphia_id,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,trait_group,trait_value,trait_unit,Gender
346070,Acartiella sinensis,Species,346070,Acartiella sinensis,Species,target,"Shen, C.J. & F.S. Lee. (1963). The estuarine Copepoda of Chiekong and Zaikong Rivers, Kwantung Province, China. Acta Zoologica Sinica 15(4):571-596. (xii-1996, Chinese with English summary).",maximum adult body length,1.23,mm,male
346070,Acartiella sinensis,Species,346070,Acartiella sinensis,Species,target,"Shen, C.J. & F.S. Lee. (1963). The estuarine Copepoda of Chiekong and Zaikong Rivers, Kwantung Province, China. Acta Zoologica Sinica 15(4):571-596. (xii-1996, Chinese with English summary).",maximum adult body length,1.38,mm,female
346070,Acartiella sinensis,Species,346070,Acartiella sinensis,Species,target,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.23,mm,male
346070,Acartiella sinensis,Species,346070,Acartiella sinensis,Species,target,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.48,mm,female
226635,Hyperacanthomysis longirostris,Species,226635,Hyperacanthomysis longirostris,Species,target,"Mauchline, J.; Murano, M. (1977). World list of the Mysidacea, Crustacea. J. Tokyo Univ. Fish. 64 (1): 39-88.",maximum adult body length,11,mm,
226583,Neomysis kadiakensis,Species,226583,Neomysis kadiakensis,Species,target,"Mauchline, J.; Murano, M. (1977). World list of the Mysidacea, Crustacea. J. Tokyo Univ. Fish. 64 (1): 39-88.",maximum adult body length,23,mm,
226693,Neomysis mercedis,Species,226693,Neomysis mercedis,Species,target,"Mauchline, J.; Murano, M. (1977). World list of the Mysidacea, Crustacea. J. Tokyo Univ. Fish. 64 (1): 39-88.",maximum adult body length,19,mm,
355153,Pseudodiaptomus forbesi,Species,355153,Pseudodiaptomus forbesi,Species,target,"Giesbrecht, W. & O. Schmeil. (1898). Copepoda I. Gymnoplea. Das Tierreich. Eine Zusammenstellung und Kennzeichnung der rezenten Tierformen, Berlin 6:i-xvi, 1-169, figs. 1-31.",maximum adult body length,1.15,mm,male
355153,Pseudodiaptomus forbesi,Species,355153,Pseudodiaptomus forbesi,Species,target,"Giesbrecht, W. & O. Schmeil. (1898). Copepoda I. Gymnoplea. Das Tierreich. Eine Zusammenstellung und Kennzeichnung der rezenten Tierformen, Berlin 6:i-xvi, 1-169, figs. 1-31.",maximum adult body length,1.2,mm,female
355153,Pseudodiaptomus forbesi,Species,355153,Pseudodiaptomus forbesi,Species,target,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.35,mm,female
359463,Sinocalanus doerrii,Species,359463,Sinocalanus doerrii,Species,target,"Shen, C.J. & D.X. Song. (1979). Calanoida. In: Shen, C.J. &  Fauna Editorial Committee (eds.). Freshwater Copepoda. Fauna Sinica, Crustacea. Science Press, Beijing. 450pp. :53-163, figs. 18-85. (In Chinese.).",maximum adult body length,1.69,mm,male
