"aphia_id","organism_code","taxon","rank","trait_value","units","life_stage","body_dimension","body_measure_type","trait_database","quality_status","citation"
131191,3110,"Streblospio benedicti","Species",20,"mm",NA,"length","maximum","worms","unreviewed","Bridges, T. S.; Heppell, S. (1996). Fitness Consequences of Maternal Effects in Streblospio Benedicti (Annelida: Polychaeta). American Zoology. 36:132-146."
131191,3110,"Streblospio benedicti","Species",20,"mm",NA,"length","maximum","worms","unreviewed","Kevrekidis, T. (2005). Population dynamics, reproductive biology and productivity of Streblospio shrubsolii (Polychaeta: Spionidae) in different sediments at low salinities in a Mediterranean lagoon (Monolimni Lagoon, Northern Aegean). International Review of Hydrobiology. 90(1): 100-121."
131191,3110,"Streblospio benedicti","Species",20,"mm",NA,"length","maximum","worms","unreviewed","Sardá, R.; Martin, D. (1993). Populations of Streblospio (Polychaeta, Spionidae) in temperate zones, demography and production. Journal of the Marine Biological Association of the United Kingdom. 73(4), 769-785."
137556,2550,"Limnodrilus hoffmeisteri","Species",35,"mm","1920","length","maximum","worms","unreviewed","Hayward, P.J. & J.S. Ryland (Eds.). (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. 627 pp."
137556,2550,"Limnodrilus hoffmeisteri","Species",35,"mm","adult","length","maximum","worms","unreviewed","Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land."
137556,2550,"Limnodrilus hoffmeisteri","Species",60,"mm","adult","length","maximum","worms","unreviewed","Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. "
137577,2720,"Tubificoides heterochaetus","Species",9,"mm","adult","length","maximum","worms","unreviewed","Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. "
137577,2720,"Tubificoides heterochaetus","Species",9,"mm","adult","length","maximum","worms","unreviewed","Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land."
157593,2570,"Limnodrilus udekemianus","Species",70,"mm","adult","length","maximum","worms","unreviewed","Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. "
157593,2570,"Limnodrilus udekemianus","Species",90,"mm","adult","length","maximum","worms","unreviewed","Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land."
157597,2270,"Slavina appendiculata","Species",20,"mm","adult","length","maximum","worms","unreviewed","Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land."
157597,2270,"Slavina appendiculata","Species",20,"mm","adult","length","maximum","worms","unreviewed","Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. "
177538,2850,"Lumbriculus variegatus","Species",90,"mm","adult","length","maximum","worms","unreviewed","Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. "
177538,2850,"Lumbriculus variegatus","Species",100,"mm","adult","length","maximum","worms","unreviewed","Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land."
182695,2490,"Branchiura sowerbyi","Species",185,"mm","adult","length","maximum","worms","unreviewed","Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land."
182695,2490,"Branchiura sowerbyi","Species",270,"mm","adult","length","maximum","worms","unreviewed","Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. "
