order,assigned,citation?,prop_d28,prop_d4,prop_d7,prop,native,organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,database,field_lab,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
186,,1,0.392070485,NA,NA,0.163970588,1,4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,,,Germany,NA,brackish lagoon in Baltic Sea,armoring,1,G,categorical,calcite carapace,NA
259,,1,0.995594714,0.997792494,0.271523179,0.755147059,0,6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,,,NA,NA,NA,armoring,1,G,categorical,shells-clam,NA
273,,1,NA,0.735099338,0.834437086,0.522794118,0,6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,,,United States,California,San Francisco Bay,armoring,1,G,categorical,shell,NA
108,,1,0.931718062,0.761589404,NA,0.580147059,1,2470,,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,,,Czech Republic,NA,Rokytna River,armoring,1,N,categorical,soft bodied,NA
121,,1,0.854625551,0.80794702,0.626931567,0.763235294,1,2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Kennedy 1966,,,England,NA,"multiple rivers, lakes, ponds, streams, canals",armoring,1,N,categorical,soft bodied without case,NA
138,,1,0.916299559,0.91611479,0.298013245,0.710294118,0,2730,Varichaetadrilus angustipenis,species,Varichaetadrilus angustipenis,species,target,Liu et al 2017,,,NA,NA,NA,armoring,1,N,categorical,an annelid worm,NA
151,,1,NA,0.514348786,0.196467991,0.238970588,0,3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,,,Germany,NA,NA,armoring,1,N,categorical,soft bodied,NA
166,,1,0.9030837,0.101545254,NA,0.335294118,0,3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,,,United States,CA and OR,multiple rivers and creeks,armoring,1,N,categorical,soft bodied but constructs tube,NA
175,,1,0.539647577,0.737306843,0.390728477,0.555882353,0,3450,Laonome calida,species,Laonome calida,species,target,Jones et al 2009,,,United States,CA,San Francisco Bay,armoring,1,N,categorical,NA,NA
196,,1,NA,0.545253863,0.697571744,0.416176471,0,4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,,,Japan,NA,Seto Inland Sea,armoring,1,P,categorical,exoskeleton,NA
211,,1,NA,0.187637969,0.719646799,0.302205882,0,4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Cohen and Carlton 1995,,,NA,NA,NA,armoring,1,P,categorical,"exoskeleton, but tube building",NA
221,,1,0.757709251,0.889624724,0.21192053,0.619852941,1,4610,Americorophium spinicorne,species,Corophium spinicorne,species,synonym,Hiebert et al 2016,,,United States,NA,NA,armoring,1,P,categorical,exoskeleton,NA
230,,1,0.735682819,0.746136865,0.284768212,0.588970588,1,4630,Americorophium stimpsoni,species,Corophium sp.,genus,confamiliar,Crawford 1937,,,NA,NA,NA,armoring,1,P,categorical,"generalization for whole genus: exoskeleton, amphopod, but tube dwelling",NA
241,,1,0.751101322,0.841059603,0.337748344,0.643382353,0,4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,,,NA,NA,NA,armoring,1,P,categorical,"amphipod, exoskeleton/crustacean",NA
