prop_d28,prop_d4,prop_d7,prop,native,organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
0.5682819383259912,0.6512141280353201,0.26048565121412803,0.4933823529411765,1,3330,Hediste limnicola,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.5682819383259912,0.6512141280353201,0.26048565121412803,0.4933823529411765,1,3330,Hediste limnicola,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.8061674008810573,0.4922737306843267,NA,0.4455882352941177,1,1130,Prostoma graecense,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.8061674008810573,0.4922737306843267,NA,0.4455882352941177,1,1130,Prostoma graecense,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
NA,0.6379690949227373,0.6490066225165563,0.4294117647058823,0,3130,Marenzelleria neglecta,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
NA,0.6379690949227373,0.6490066225165563,0.4294117647058823,0,3130,Marenzelleria neglecta,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.7070484581497798,0.18543046357615897,NA,0.2985294117647059,1,2410,Aulodrilus limnobius,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.7070484581497798,0.18543046357615897,NA,0.2985294117647059,1,2410,Aulodrilus limnobius,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.5903083700440529,0.2891832229580574,NA,0.2933823529411765,0,6630,Melanoides tuberculata,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.5903083700440529,0.2891832229580574,NA,0.2933823529411765,0,6630,Melanoides tuberculata,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.7158590308370044,NA,NA,0.2698529411764706,1,2510,Ilyodrilus frantzi,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.7158590308370044,NA,NA,0.2698529411764706,1,2510,Ilyodrilus frantzi,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.5550660792951542,0.2163355408388521,NA,0.25735294117647056,1,2630,Quistadrilus multisetosus,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.5550660792951542,0.2163355408388521,NA,0.25735294117647056,1,2630,Quistadrilus multisetosus,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
NA,0.22958057395143489,0.4746136865342163,0.23455882352941176,0,4670,Grandidierella japonica,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
NA,0.22958057395143489,0.4746136865342163,0.23455882352941176,0,4670,Grandidierella japonica,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.6233480176211453,NA,NA,0.2235294117647059,1,2450,Aulodrilus japonicus,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.6233480176211453,NA,NA,0.2235294117647059,1,2450,Aulodrilus japonicus,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
NA,NA,0.5386313465783664,0.2051470588235294,1,2720,Tubificoides heterochaetus,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
NA,NA,0.5386313465783664,0.2051470588235294,1,2720,Tubificoides heterochaetus,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
NA,NA,0.5121412803532008,0.18970588235294117,0,6810,Macoma petalum,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
NA,NA,0.5121412803532008,0.18970588235294117,0,6810,Macoma petalum,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.5506607929515418,NA,NA,0.18455882352941175,1,2650,Embolocephalus nikolskyi,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.5506607929515418,NA,NA,0.18455882352941175,1,2650,Embolocephalus nikolskyi,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
NA,0.1368653421633554,0.39514348785871967,0.1772058823529412,0,4150,Amphibalanus improvisus,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
NA,0.1368653421633554,0.39514348785871967,0.1772058823529412,0,4150,Amphibalanus improvisus,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.32158590308370044,0.16997792494481237,NA,0.175,1,1230,Dorylaimus sp. A,genus,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.32158590308370044,0.16997792494481237,NA,0.175,1,1230,Dorylaimus sp. A,genus,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.44493392070484583,NA,NA,0.1676470588235294,1,2810,Sparganophilus tamesis,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.44493392070484583,NA,NA,0.1676470588235294,1,2810,Sparganophilus tamesis,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.28634361233480177,0.1920529801324503,NA,0.16176470588235295,1,2570,Limnodrilus udekemianus,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.28634361233480177,0.1920529801324503,NA,0.16176470588235295,1,2570,Limnodrilus udekemianus,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.2444933920704846,0.19646799116997793,NA,0.14926470588235294,1,2530,Ilyodrilus templetoni,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.2444933920704846,0.19646799116997793,NA,0.14926470588235294,1,2530,Ilyodrilus templetoni,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.4140969162995594,NA,NA,0.14338235294117646,1,6750,Euglesa casertana,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.4140969162995594,NA,NA,0.14338235294117646,1,6750,Euglesa casertana,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.29515418502202645,0.11920529801324505,NA,0.13897058823529412,1,4810,Hyalella sp. A,genus,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.29515418502202645,0.11920529801324505,NA,0.13897058823529412,1,4810,Hyalella sp. A,genus,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.3964757709251101,NA,NA,0.13676470588235295,1,6770,Euglesa compressa,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.3964757709251101,NA,NA,0.13676470588235295,1,6770,Euglesa compressa,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
NA,NA,0.37748344370860926,0.13161764705882353,0,3370,Alitta succinea,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
NA,NA,0.37748344370860926,0.13161764705882353,0,3370,Alitta succinea,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
0.32819383259911894,NA,NA,0.12720588235294117,0,2490,Branchiura sowerbyi,species,NA,NA,NA,NA,NA,NA,NA,dispersal,NA,NA,NA,NA,NA
0.32819383259911894,NA,NA,0.12720588235294117,0,2490,Branchiura sowerbyi,species,NA,NA,NA,NA,NA,NA,NA,trophic_habit,NA,NA,NA,NA,NA
