organism_code,aphia_id,taxon,source,aphia_id_syn,synonym,status,rank,kingdom,phylum,class,order,family,genus
2970,NA,Mooreobdella microstoma,itis,NA,Dina microstoma,unaccepted,Species,Animalia,Annelida,Clitellata,Hirudinida,Erpobdellidae,Dina
2810,992855,Sparganophilus tamesis,worms,1071668,Helodrilus elongatus,unaccepted,Species,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Helodrilus
2810,992855,Sparganophilus tamesis,worms,1071208,Pelodrilus cuenoti,unaccepted,Species,Animalia,Annelida,Clitellata,Haplotaxida,Haplotaxidae,Pelodrilus
2810,992855,Sparganophilus tamesis,worms,1072194,Sparganophilus benhami,junior subjective synonym,Species,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus
2810,992855,Sparganophilus tamesis,worms,1072196,Sparganophilus benhami carneus,junior subjective synonym,Subspecies,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus
2810,992855,Sparganophilus tamesis,worms,1072195,Sparganophilus benhami guatemalensis,junior subjective synonym,Subspecies,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus
2810,992855,Sparganophilus tamesis,worms,992857,Sparganophilus eiseni,unaccepted,Species,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus
2810,992855,Sparganophilus tamesis,worms,992876,Sparganophilus elongatus,unaccepted,Species,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus
2810,992855,Sparganophilus tamesis,worms,992879,Sparganophilus langi,unaccepted,Species,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus
2810,992855,Sparganophilus tamesis,worms,1512813,Sparganophilus tamensis,unaccepted,Species,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus
2840,1040874,Altmanella freidris,worms,1042003,Kincaidiana freidris,unaccepted,Species,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Kincaidiana
2850,177538,Lumbriculus variegatus,worms,1041113,Lumbriculus kareliensis,unaccepted,Species,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus
2850,177538,Lumbriculus variegatus,worms,1041265,Lumbriculus limosus,unaccepted,Species,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus
2850,177538,Lumbriculus variegatus,worms,1074101,Lumbriculus variegatus typica,unaccepted,Subspecies,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus
2850,177538,Lumbriculus variegatus,worms,177523,Lumbricus variegatus,unaccepted,Species,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus
2850,177538,Lumbriculus variegatus,worms,1070916,Nais variegata,unaccepted,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Nais
2850,177538,Lumbriculus variegatus,worms,177520,Saenuris variegata,unaccepted,Species,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Saenuris
2410,1040644,Aulodrilus limnobius,worms,1579350,Aulodrilus tenuis,junior subjective synonym,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus
2410,1040644,Aulodrilus limnobius,worms,1588219,Homochaeta setosa,superseded combination,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Homochaeta
2410,1040644,Aulodrilus limnobius,worms,1070039,Paranais setosa,junior subjective synonym,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Paranais
