organism_code,taxon,aphia_id,source,rank,kingdom,phylum,class,order,family,genus,native
2810,Sparganophilus tamesis,992855,worms,Species,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus,1
2970,Mooreobdella microstoma,NA,itis,Species,Animalia,Annelida,Clitellata,Hirudinida,Erpobdellidae,Mooreobdella,1
2840,Altmanella freidris,1040874,worms,Species,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Altmanella,1
2850,Lumbriculus variegatus,177538,worms,Species,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus,1
2450,Aulodrilus japonicus,1037336,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2410,Aulodrilus limnobius,1040644,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2430,Aulodrilus pigueti,1040647,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2470,Bothrioneurum vejdovskyanum,1040573,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2490,Branchiura sowerbyi,182695,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Branchiura,0
2090,Dero trifida,1040507,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Dero,1
2650,Embolocephalus nikolskyi,1040959,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Embolocephalus,1
2510,Ilyodrilus frantzi,1040676,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,1
2530,Ilyodrilus templetoni,992890,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,1
2550,Limnodrilus hoffmeisteri,137556,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2570,Limnodrilus udekemianus,157593,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2610,Psammoryctides californianus,1040661,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Psammoryctides,1
2630,Quistadrilus multisetosus,1037349,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Quistadrilus,1
2270,Slavina appendiculata,157597,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Slavina,1
2720,Tubificoides heterochaetus,137577,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Tubificoides,1
2730,Varichaetadrilus angustipenis,1041002,worms,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
3370,Alitta succinea,234850,worms,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,0
3330,Hediste limnicola,333585,worms,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,1
3450,Laonome calida,608090,worms,Species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Laonome,0
3430,Manayunkia speciosa,155021,worms,Species,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3050,Boccardiella ligerica,131114,worms,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3130,Marenzelleria neglecta,181523,worms,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,0
3090,Pseudopolydora kempi,131167,worms,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,0
3110,Streblospio benedicti,131191,worms,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,0
3170,Heteromastus filiformis,129884,worms,Species,Animalia,Annelida,Polychaeta,NA,Capitellidae,Heteromastus,0
5550,Cryptochironomus,181574,worms,Genus,Animalia,Arthropoda,Hexapoda,Diptera,Chironomidae,Cryptochironomus,1
5410,Procladius,156905,worms,Genus,Animalia,Arthropoda,Hexapoda,Diptera,Chironomidae,Procladius,1
4610,Americorophium spinicorne,431330,worms,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4630,Americorophium stimpsoni,431331,worms,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,1
4510,Ampelisca abdita,158020,worms,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,0
4750,Gammarus daiberi,158091,worms,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,0
4670,Grandidierella japonica,238740,worms,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandidierella,0
4810,Hyalella,158104,worms,Genus,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,1
4550,Sinocorophium alienense,431367,worms,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Sinocorophium,0
4230,Nippoleucon hinumensis,182361,worms,Species,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Nippoleucon,0
4950,Rhithropanopeus harrisii,107414,worms,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,0
4350,Gnorimosphaeroma insulare,260458,worms,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,1
4370,Gnorimosphaeroma oregonense,1264222,worms,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,1
4310,Synidotea laticauda,257397,worms,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Synidotea,0
4410,Uromunna,118375,worms,Genus,Animalia,Arthropoda,Malacostraca,Isopoda,Munnidae,Uromunna,0
4270,Sinelobus stanfordi,247737,worms,Species,Animalia,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Sinelobus,0
4050,Candona,415154,worms,Genus,Animalia,Arthropoda,Ostracoda,Podocopida,Candonidae,Candona,1
4090,Cyprideis,127595,worms,Genus,Animalia,Arthropoda,Ostracoda,Podocopida,Cytherideidae,Cyprideis,1
4030,Isocypris,NA,itis,Genus,Animalia,Arthropoda,Ostracoda,Podocopida,Cyprididae,Isocypris,1
4150,Amphibalanus improvisus,421139,worms,Species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,0
6810,Macoma petalum,397131,worms,Species,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,0
6890,Potamocorbula amurensis,397175,worms,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Potamocorbula,0
6750,Euglesa casertana,885716,worms,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Euglesa,1
6770,Euglesa compressa,1299015,worms,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Euglesa,1
6730,Corbicula fluminea,181580,worms,Species,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,0
