organism_code,common_5perc,species_name,indiv_n_all,indiv_prop_all,rank_prop_all,rank_no,indiv_n_D28A-L,indiv_n_D4-L,indiv_n_D7-C,indiv_prop_D28A-L,indiv_prop_D4-L,indiv_prop_D7-C
4610,1,Americorophium spinicorne,1705650.76,0.14891775821251035,1,1,197884.65,1497796.46,9969.65,0.01727700602828403,0.13077031729627578,8.704348879505403e-4
6890,1,Potamocorbula amurensis,1599451.98,0.13964570521468353,0.9959839357429718,2,0,131764.4,1467687.58,0,0.01150414816466678,0.12814155705001676
4630,1,Americorophium stimpsoni,1292496.85,0.11284592245526938,0.9919678714859438,3,233120.12,836048.14,223328.59,0.020353361003768087,0.07299408395100707,0.019498477500494216
2730,1,Varichaetadrilus angustipenis,1054110.61,0.09203278457145694,0.9879518072289156,4,296395.67,742588.2,15126.74,0.025877852462772043,0.06483423958317427,0.0013206925255106203
6730,1,Corbicula fluminea,1028967.91,0.08983761390275001,0.9839357429718876,5,553023.95,434007.96,41936,0.04828367494869079,0.03789257095607595,0.003661367997983265
4550,1,Sinocorophium alienense,904012.85,0.0789279787952033,0.9799196787148594,6,0,8145.8499999999995,895867,0,7.112017003617888e-4,0.07821677709484151
4750,1,Gammarus daiberi,736075.35,0.06426561261432495,0.9759036144578314,7,263030.45,457089.69,15955.21,0.02296478615330831,0.03990780148736387,0.00139302497365277
3430,1,Manayunkia speciosa,475331.77,0.04150048958180899,0.9718875502008032,8,474253.2,1078.57,0,0.041406321285319465,9.416829648952713e-5,0
2550,1,Limnodrilus hoffmeisteri,423673.06,0.03699024664945735,0.9678714859437751,9,84293.19,289733.95,49645.92,0.007359509450446465,0.025296227881993597,0.004334509317017296
3450,1,Laonome calida,335724.79,0.029311617756477774,0.963855421686747,10,25961.75,300703.59,9059.45,0.002266680671061666,0.026253970366860946,7.909667185551672e-4
4230,1,Nippoleucon hinumensis,274806.13,0.023992902757335673,0.9598393574297188,11,17.63,115918.28,158870.22,1.5392483261265967e-6,0.010120647672006475,0.013870715837003073
3050,1,Boccardiella ligerica,268881.56,0.023475637615218835,0.9558232931726908,12,25.64,266049.74,2806.18,2.2385891708386807e-6,0.023228395743699164,2.450032823488334e-4
4090,1,Cyprideis sp. A,258343.04,0.022555535557938537,0.9518072289156626,13,257514.44,823.79,4.81,0.02248319175969529,7.192384450254278e-5,4.199537407072564e-7
2470,1,Bothrioneurum vejdovskyanum,222410.15,0.019418289909306028,0.9477911646586346,14,142876.5,79320.49,213.16,0.012474328614170544,0.006925350621669964,1.8610673465521573e-5
3130,1,Marenzelleria neglecta,89341.4,0.007800260941792781,0.9437751004016064,15,6.41,60016.05,29318.94,5.596472927096702e-7,0.005239909501034041,0.002559791793466031
2410,1,Aulodrilus limnobius,63293.31,0.005526042057431185,0.9397590361445783,16,57506.38,5782.12,4.81,0.005020794053125354,5.04828050565123e-4,4.199537407072564e-7
4150,1,Balanus improvisus,61256.4,0.0053482025618004116,0.9357429718875502,17,0,17737.17,43519.23,0,0.0015486051748566582,0.0037995973869437536
1290,1,mermithid sp. A,51945.54,0.004535285620802166,0.9317269076305221,18,3033.71,35653.81,13258.02,2.648685785282767e-4,0.003112879600824487,0.0011575374414494013
2510,1,Ilyodrilus frantzi,50626.5,0.004420122256531375,0.927710843373494,19,49906.92,689.13,30.45,0.00435729682768769,6.016688593213963e-5,2.658542911545937e-6
6630,1,Melanoides tuberculata,47625.2,0.004158083345515848,0.9236947791164659,20,37057.78,10567.42,0,0.0032354580734525054,9.226252720633421e-4,0
6770,1,Pisidium compressum,39149.12,0.003418049769105461,0.9196787148594378,21,39120.26,24.049999999999997,4.81,0.0034155300466612174,2.099768703536282e-6,4.199537407072564e-7
1130,1,Prostoma graecense,38198.68,0.003335068306877227,0.9156626506024096,22,30560.8,7395.89,241.99,0.0026682166900221043,6.457238401994575e-4,2.112777665566507e-5
4670,1,Grandidierella japonica,38060.99,0.003323046803642719,0.9116465863453815,23,0,11546.47,26514.52,0,0.001008104629618319,0.0023149421740244
3330,1,Hediste limnicola,34514.59,0.0030134160456293684,0.9076305220883534,24,16419.88,16362.13,1732.58,0.0014335946004083713,0.001428552536265784,1.5126890895521378e-4
2450,1,Aulodrilus japonicus,26894.37,0.002348106296354473,0.9036144578313253,25,26668.39,214.76,11.219999999999999,0.002328376328303532,1.875036701752399e-5,9.796010334169265e-7
2840,1,Altmanella freidris,26682.74,0.002329629204848054,0.8995983935742972,26,26601,76.92999999999999,4.81,0.0023224926105101305,6.716640597216056e-6,4.199537407072564e-7
2720,1,Tubificoides heterochaetus,26109.07,0.0022795429548622885,0.8955823293172691,27,0,12346.13,13762.94,0,0.0010779217207397254,0.0012016212341225629
4810,1,Hyalella sp. A,21804.59,0.0019037253919101946,0.891566265060241,28,20734.02,1032.11,38.46,0.0018102555631806796,9.011194497325704e-5,3.357883756258021e-6
2430,1,Aulodrilus pigueti,19185.91,0.001675092447686644,0.8875502008032129,29,19068.92,116.99,0,0.0016648782297811672,1.0214217905476492e-5,0
6870,0,Mya arenaria,16134.57,0.0014086846208322408,0.8835341365461847,30,0,0,16134.57,0,0,0.0014086846208322408
2630,1,Quistadrilus multisetosus,14357.44,0.0012535261195384597,0.8795180722891566,31,12344.49,2012.95,0,0.001077778534848923,1.7574758468953675e-4,0
