year_adjusted,Girardia tigrina,turbellarian sp. A,Prostoma graecense,Dorylaimus sp. A,Actinolaiminae sp. A,mermithid sp. A,Dero trifida,Slavina appendiculata,Aulodrilus limnobius,Aulodrilus pigueti,Aulodrilus japonicus,Bothrioneurum vejdovskyanum,Branchiura sowerbyi,Ilyodrilus frantzi,Ilyodrilus templetoni,Limnodrilus hoffmeisteri,Limnodrilus udekemianus,Psammoryctides californianus,Quistadrilus multisetosus,Embolocephalus nikolskyi,Tubificoides heterochaetus,Varichaetadrilus angustipenis,Sparganophilus eiseni,Altmanella freidris,Lumbriculus variegatus,Mooreobdella microstoma,Boccardiella ligerica,Pseudopolydora kempi,Streblospio benedicti,Marenzelleria neglecta,Heteromastus filiformis,Hediste limnicola,Alitta succinea,Manayunkia speciosa,Laonome calida,Isocypris sp. A,Candona sp. A,Cyprideis sp. A,Balanus improvisus,Nippoleucon hinumensis,Sinelobus stanfordi,Synidotea laticauda,Gnorimosphaeroma insulare,Gnorimosphaeroma oregonensis,Uromunna sp. A,Ampelisca abdita,Sinocorophium alienense,Americorophium spinicorne,Americorophium stimpsoni,Grandidierella japonica,Gammarus daiberi,Hyalella sp. A,Rhithropanopeus harrisii,Procladius sp. A,Cryptochironomus sp. A,Fluminicola sp. A,Gyraulus circumstriatus,Physa sp. A,Melanoides tuberculata,Corbicula fluminea,Pisidium casertanum,Pisidium compressum,Limecola petalum,Potamocorbula amurensis
1981,0,0,62.677777777777784,0,0,42.73444444444444,0,0,0,0,3.5611111111111113,0,1.4244444444444444,56.98,2.848888888888889,754.9866666666667,0,0,9.258888888888889,1.4244444444444444,0,0,0,0,0,0.7122222222222222,547.0088888888889,0,0.7122222222222222,0,0,33.474444444444444,44.87222222222223,28.49,0,0.7122222222222222,0,0,635.3277777777777,0,0,68.37666666666667,0,0,0,4.985555555555556,0,1318.3744444444444,252.84888888888887,11.395555555555555,0,0,7.122222222222223,0,0,0,0,0,0,530.6266666666667,1.4244444444444444,0,9.258888888888889,0
1982,1.4244444444444444,0,37.74777777777778,0,0,0,0,0,0,0,8.546666666666667,0,0.7122222222222222,22.79222222222222,4.985555555555555,240.02777777777777,160.96777777777777,2.1366666666666667,6.41,0,0,1137.4644444444446,0,0,0,2.1366666666666667,6.41,0,0,0,0,29.913333333333334,7.834444444444444,44.871111111111105,0,0.7122222222222222,0.7122222222222222,0,0,0,0,0,0,0,0,0,0,521.3677777777777,7862.535555555555,0,0,6.41,0,0,0,0,0,0,0,1009.9722222222222,0,0,0.7122222222222222,0
1983,0.7122222222222222,0,71.22444444444444,27.776666666666667,0,539.8844444444444,0,0,478.6311111111111,0,138.17666666666668,149.57222222222222,0.7122222222222222,67.66444444444444,17.094444444444445,110.4011111111111,3.5611111111111113,2.1366666666666667,0.7122222222222222,0,0,486.4666666666667,0.7122222222222222,0,0,6.41,8.546666666666667,0,0,0,0,8.546666666666667,0,3.5611111111111113,0,27.77777777777778,3.5611111111111113,0,0,0,0,0,1.4244444444444444,0,0,0,0,1340.4566666666667,3846.1544444444444,0,0,0.7122222222222222,0,12.107777777777777,0,0,0,0,0,2094.02,1.4244444444444444,0,0,0
1984,0,0,46.29666666666667,4.273333333333333,0,81.19666666666667,0,1.4244444444444444,50.56888888888889,0,5.697777777777778,111.11,19.23111111111111,29.91444444444444,4.985555555555556,61.964444444444446,21.36777777777778,2.1366666666666667,10.683333333333334,0,0,245.72666666666666,0,0,0.7122222222222222,0,7.122222222222223,0,0,0,0,2.1366666666666667,7.834444444444444,27.77777777777778,0,0,4.985555555555556,0,5.697777777777778,0,0,0,0,0,0,0,0,398.1477777777777,3047.7211111111114,0,0,0,0.7122222222222222,0,0,0,0,0,0,1438.7477777777779,1.4244444444444444,0,8.546666666666667,0
1985,0,0,21.366666666666667,0,0,7.4783333333333335,0,0,36.324999999999996,0,8.546666666666667,87.60666666666667,3.205,27.778333333333332,0,20.298333333333336,0,0,33.12,4.273333333333333,0,130.34166666666664,0,0,0,0,400.64,0,2.1366666666666667,0,0,5.341666666666667,20.298333333333332,96.15333333333332,0,1.0683333333333334,2.1366666666666667,0,72.65,0,0,25.64,0,0,0,13.888333333333334,927.35,13.888333333333332,4.273333333333333,87.60666666666667,0,0,6.41,0,0,0,0,0,0,279.91333333333336,11.751666666666667,0,53.419999999999995,0
1986,2.848888888888889,0,51.281111111111116,23.504444444444445,0,20.654444444444444,0,0,302.7055555555556,0,237.17999999999998,328.34777777777776,76.21111111111111,76.21000000000001,10.683333333333334,245.72444444444443,2.848888888888889,0,42.73444444444444,0,0,241.45111111111112,0.7122222222222222,0,0,0,980.7688888888888,0,0,0,0,22.79222222222222,14.956666666666665,56.26777777777778,0,0,6.41,0,1372.5066666666667,96.15333333333332,0,0.7122222222222222,0,0,0,0,0,3752.8500000000004,4103.277777777778,23.504444444444445,121.79444444444444,0,9.971111111111112,0,0,0,0,0,0,987.8911111111111,9.971111111111112,0,7.834444444444444,0
1987,0,0,38.461111111111116,0.7122222222222222,0,1.4244444444444444,0,0,2.848888888888889,1.4244444444444444,0,79.77222222222221,7.122222222222223,10.683333333333332,0,51.99333333333333,0,0,0,3.5611111111111113,0,499.2877777777778,0,0,0,0,2054.1311111111113,1.4244444444444444,0.7122222222222222,0,0,5.697777777777778,2.1366666666666667,19.94333333333333,0,0,2.1366666666666667,0,112.53555555555556,21.36777777777778,0,46.29555555555555,0,0.7122222222222222,0,0,0,387.4644444444445,762.82,2.848888888888889,821.9366666666666,0,2.1366666666666667,0,0,0,0,0,0,528.49,0,0,19.942222222222224,2331.1955555555555
1988,0,0,33.47555555555555,0.7122222222222222,0,0,0,0,42.73444444444444,0,2.848888888888889,111.10999999999999,2.848888888888889,32.76333333333333,2.1366666666666667,79.06,0.7122222222222222,0,4.985555555555556,0.7122222222222222,0,131.05333333333334,0,0,0,0,813.39,0,0,0,3.5611111111111113,2.848888888888889,1.4244444444444444,2.1366666666666667,0,0,0.7122222222222222,0,108.97444444444446,14.244444444444444,0,6.41,2.1366666666666667,0.7122222222222222,0,0.7122222222222222,16.38111111111111,24.927777777777777,105.41222222222223,0.7122222222222222,92.59222222222222,0,2.848888888888889,0,0,0,0,0,0,130.34222222222223,0,0,2.848888888888889,1594.73
1989,0,8.546666666666667,11.395555555555555,0,0,0.7122222222222222,0.7122222222222222,0,4.985555555555555,0,0,38.46,14.244444444444445,0.7122222222222222,3.5611111111111113,9.971111111111112,0,1.4244444444444444,0,0.7122222222222222,0,34.187777777777775,1.4244444444444444,0,0,0,955.8399999999999,0.7122222222222222,0,0,2.1366666666666667,1.4244444444444444,2.848888888888889,2.1366666666666667,4.985555555555556,0,1.4244444444444444,0,47.72,44.87111111111111,0.7122222222222222,5.697777777777778,1.4244444444444444,0,0,0,0,2.1366666666666667,0.7122222222222222,0,34.18666666666667,0,2.848888888888889,0,0,0,0,0.7122222222222222,0,368.23333333333335,0,0,1.4244444444444444,1099.7144444444446
1990,0,1.4244444444444444,12.107777777777777,0,0,0,0,0,66.95222222222223,0,0,137.46444444444444,3.5611111111111113,15.668888888888889,0,7.834444444444444,0.7122222222222222,0,1.4244444444444444,1.4244444444444444,0,42.02111111111111,0,0,0,0,1127.4933333333333,2.1366666666666667,0,0,1.4244444444444444,2.1366666666666667,2.1366666666666667,9.258888888888889,692.3077777777778,0,1.4244444444444444,0,948.0055555555556,161.6811111111111,10.683333333333332,99.71555555555555,0,7.122222222222223,1.4244444444444444,1.4244444444444444,14.956666666666667,32.05,82.62111111111112,15.67,53.41777777777778,0,4.273333333333333,0,0,0,0,0,0,466.52444444444444,0,0,0.7122222222222222,1075.4988888888888
1991,0,2.1366666666666667,14.244444444444445,0,0.7122222222222222,6.41,0,0,6.41,0,0,7.834444444444444,0.7122222222222222,0.7122222222222222,0.7122222222222222,86.18222222222224,0.7122222222222222,0,0,2.1366666666666667,0,81.90777777777778,0,0,0,0,101.85111111111111,0,0.7122222222222222,0,0.7122222222222222,4.273333333333333,7.122222222222223,17.093333333333334,1086.8955555555556,0,0,0,117.52,110.39888888888889,3.5611111111111104,4.273333333333333,0,2.848888888888889,3.5611111111111104,54.843333333333334,7.834444444444444,55.55555555555556,45.583333333333336,13.532222222222222,197.29333333333335,0,3.5611111111111113,0,0,0,0,0,2.848888888888889,242.87666666666667,0,0,2.848888888888889,844.73
