year_adjusted,Girardia tigrina,turbellarian sp. A,Prostoma graecense,Dorylaimus sp. A,Actinolaiminae sp. A,mermithid sp. A,Dero trifida,Slavina appendiculata,Aulodrilus limnobius,Aulodrilus pigueti,Aulodrilus japonicus,Bothrioneurum vejdovskyanum,Branchiura sowerbyi,Ilyodrilus frantzi,Ilyodrilus templetoni,Limnodrilus hoffmeisteri,Limnodrilus udekemianus,Psammoryctides californianus,Quistadrilus multisetosus,Embolocephalus nikolskyi,Tubificoides heterochaetus,Varichaetadrilus angustipenis,Sparganophilus eiseni,Altmanella freidris,Lumbriculus variegatus,Mooreobdella microstoma,Boccardiella ligerica,Pseudopolydora kempi,Streblospio benedicti,Marenzelleria neglecta,Heteromastus filiformis,Hediste limnicola,Alitta succinea,Manayunkia speciosa,Laonome calida,Isocypris sp. A,Candona sp. A,Cyprideis sp. A,Balanus improvisus,Nippoleucon hinumensis,Sinelobus stanfordi,Synidotea laticauda,Gnorimosphaeroma insulare,Gnorimosphaeroma oregonensis,Uromunna sp. A,Ampelisca abdita,Sinocorophium alienense,Americorophium spinicorne,Americorophium stimpsoni,Grandidierella japonica,Gammarus daiberi,Hyalella sp. A,Rhithropanopeus harrisii,Procladius sp. A,Cryptochironomus sp. A,Fluminicola sp. A,Gyraulus circumstriatus,Physa sp. A,Melanoides tuberculata,Corbicula fluminea,Pisidium casertanum,Pisidium compressum,Limecola petalum,Potamocorbula amurensis
1981,0,0,1.4244444444444444,0,0,22.79111111111111,0,0,0,0,0,0,0,2.1366666666666667,7.122222222222223,1204.4166666666667,1.4244444444444444,0,3.5611111111111113,0,0,0,0,0,0,0,13.532222222222224,0,0,0,0,16.38111111111111,4.985555555555556,17.80666666666667,0,2.1366666666666667,7.122222222222223,0,4.273333333333333,0,0,0,0,0,0,0,0,1449.428888888889,635.3277777777778,0,0,4.2733333333333325,0,0.7122222222222222,0.7122222222222222,0,0,0,0,2012.1077777777778,0,0,24.927777777777777,0
1982,0,0,7.834444444444444,0,0,0,0,2.1366666666666667,0,0,18.51888888888889,0,0.7122222222222222,2.1366666666666667,5.697777777777778,1195.1566666666668,97.5788888888889,4.985555555555556,9.258888888888889,1.4244444444444444,0,143.87444444444444,0,0,0,0.7122222222222222,108.97444444444444,0,0,0,0,73.36111111111111,34.9,42.73444444444445,0,2.1366666666666667,2.848888888888889,0,0.7122222222222222,0,0,0,0,0,0,0,0,868.9455555555555,448.71777777777777,0,0,7.834444444444444,2.1366666666666667,3.5611111111111113,0.7122222222222222,0,0,0,0,4310.541111111111,2.848888888888889,0,0,0
1983,0,0,14.244444444444444,0,0,31.33888888888889,0,0.7122222222222222,63.39,0,2.1366666666666667,146.72222222222223,0,15.668888888888889,0.7122222222222222,693.7322222222223,4.2733333333333325,7.122222222222223,7.122222222222223,0,0,1055.5555555555557,0,0,0,0.7122222222222222,7.122222222222221,0,0,0,0,42.733333333333334,2.848888888888889,450.85555555555555,0,13.532222222222222,2.848888888888889,0,0,0,0,0,4.985555555555555,0,0,0,0,267.8066666666667,759.2577777777777,0,0,5.697777777777778,0.7122222222222222,0.7122222222222222,0,0,0.7122222222222222,0.7122222222222222,0,3314.8144444444442,0,0,0,0
1984,0,0,9.971111111111112,20.654444444444447,0,429.48888888888894,0,0,65.52666666666667,0,8.546666666666665,80.48333333333333,0,11.395555555555555,2.1366666666666667,94.72999999999999,0,1.4244444444444444,2.1366666666666667,0.7122222222222222,0,398.8622222222222,0,0,0,2.1366666666666667,1.4244444444444444,0,0,0,0,30.62666666666667,0,3.5611111111111113,0,49.857777777777784,57.69222222222222,0,0,0,0,0,0.7122222222222222,0,0,0,0,4428.775555555556,7824.075555555555,0,0,3.5611111111111113,0,11.395555555555555,0,0,0,2.1366666666666667,0,5044.16,3.5611111111111104,0,0,0
1985,0.7122222222222222,0,33.47555555555555,12.107777777777779,2.848888888888889,54.13,0,1.4244444444444444,86.89555555555555,0,19.231111111111108,101.85111111111111,4.985555555555556,13.532222222222222,4.273333333333333,80.48444444444445,3.5611111111111113,0.7122222222222222,1.4244444444444444,0.7122222222222222,0,162.39222222222224,0.7122222222222222,0,2.848888888888889,2.1366666666666667,2.848888888888889,0,0,0,0,14.956666666666665,2.848888888888889,39.88555555555556,0,0.7122222222222222,32.05111111111111,0,0,0,0,0.7122222222222222,0,0,0,3.5611111111111113,0,1240.7399999999998,3532.763333333333,0,0,4.985555555555556,4.273333333333333,0,0,0,0,2.1366666666666667,0,2822.6477777777777,0,0,5.697777777777778,0
1986,0,0,39.885555555555555,14.957777777777778,0,2.1366666666666667,0,12.82,76.92333333333333,0,33.47555555555555,232.19444444444446,15.668888888888889,63.39,31.33888888888889,99.00222222222222,6.41,0,27.06555555555556,0.7122222222222222,0,146.72222222222223,0,0,2.848888888888889,0.7122222222222222,263.53333333333336,0,0,0,0,70.51222222222222,22.79111111111111,301.99444444444447,0,7.122222222222221,0,0,18.51888888888889,0,0.7122222222222222,0,0,0,0,0,5.697777777777778,253.5611111111111,750.0011111111112,0,9.97111111111111,0,0,0,0,0,0,0,0,410.25555555555553,5.697777777777778,0,5.697777777777778,0
1987,0,0,16.38111111111111,6.41,0,4.985555555555556,0,4.273333333333333,95.44222222222221,0,49.14444444444444,103.98777777777778,22.79222222222222,254.2722222222222,5.697777777777778,325.49888888888887,2.848888888888889,0,13.532222222222222,1.4244444444444444,0,136.7511111111111,2.848888888888889,0,0.7122222222222222,0,56.26777777777778,0,0,0,0,10.683333333333334,13.532222222222222,21.367777777777775,0,9.971111111111112,9.258888888888889,0,0,144.58666666666667,0,0,0,0,0,15.67,0,1835.47,396.0111111111111,1.4244444444444444,202.9911111111111,0,3.5611111111111113,0,0,0,0,0,0,700.1433333333333,3.5611111111111104,0,37.74888888888889,279.20222222222225
1988,0.7122222222222222,0,9.258888888888889,0,0,0.7122222222222222,0,0,0,0,0,79.06,5.697777777777778,4.985555555555555,0,12.82,0,0,1.4244444444444444,9.97111111111111,0,128.91722222222222,3.5611111111111104,0,1.4244444444444444,0,2793.8033333333333,0,3.5611111111111113,0,0,19.942222222222224,4.985555555555556,6.41,0,0.7122222222222222,12.82,0,18.517777777777777,88.675,0,0.7122222222222222,0,0,0,2.848888888888889,0,69.445,161.3238888888889,3.205,167.73555555555555,0,3.205,0,0,0,0,0,0,1194.0877777777778,0,0,5.697777777777778,1712.6061111111112
1989,0,0,6.41,0,0,2.1366666666666667,0,0,2.1366666666666667,0,0,61.96666666666667,21.366666666666664,0,0,6.41,0,0,0,10.683333333333332,0,132.48,0,0,0,0,6570.513333333333,0,0,0,6.41,27.776666666666667,0,0,0,0,0,0,2.1366666666666667,40.596666666666664,0,0,0,0,0,0,0,27.776666666666664,123.93,0,115.38333333333334,0,17.093333333333334,0,0,0,0,0,0,4728.63,0,0,2.1366666666666667,350.43
1990,2.1366666666666667,7.834444444444444,19.229999999999997,0,0,0,0,0,2.848888888888889,0,0,23.503333333333334,13.532222222222224,0.7122222222222222,0.7122222222222222,26.353333333333335,0,0,0,0,0,35.611111111111114,10.683333333333332,0,0.7122222222222222,0,1692.3077777777778,4.273333333333333,2.848888888888889,0,2.1366666666666667,9.258888888888889,0.7122222222222222,2.1366666666666667,14.244444444444445,0,0.7122222222222222,0,84.04444444444445,200.85444444444445,5.697777777777778,7.122222222222221,0,0.7122222222222222,6.41,2.1366666666666667,0,57.69222222222222,45.583333333333336,4.273333333333333,292.73333333333335,0,0,0,0,0,0,1.4244444444444444,3.5611111111111113,3047.0088888888886,0.7122222222222222,0.7122222222222222,2.1366666666666667,535.6122222222223
