organism_code,target_taxon_name,target_taxon_level,source,aphia_id,kingdom,phylum,class,order,family,genus,native
1010,Girardia tigrina,species,worms,482186,Animalia,Platyhelminthes,NA,Tricladida,Dugesiidae,Girardia,1
1010,Girardia tigrina,species,worms,482186,Animalia,Platyhelminthes,NA,Tricladida,Dugesiidae,Girardia,1
1010,Girardia tigrina,species,worms,482186,Animalia,Platyhelminthes,NA,Tricladida,Dugesiidae,Girardia,1
1130,Prostoma graecense,species,worms,689413,Animalia,Nemertea,Hoplonemertea,Monostilifera,Prostomatidae,Prostoma,1
1130,Prostoma graecense,species,worms,689413,Animalia,Nemertea,Hoplonemertea,Monostilifera,Prostomatidae,Prostoma,1
1130,Prostoma graecense,species,worms,689413,Animalia,Nemertea,Hoplonemertea,Monostilifera,Prostomatidae,Prostoma,1
1230,Dorylaimus sp. A,genus,worms,582922,Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Dorylaimus,1
1230,Dorylaimus sp. A,genus,worms,582922,Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Dorylaimus,1
1230,Dorylaimus sp. A,genus,worms,582922,Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Dorylaimus,1
2090,Dero trifida,species,worms,1040507,Animalia,Annelida,Clitellata,Tubificida,Naididae,Dero,1
2090,Dero trifida,species,worms,1040507,Animalia,Annelida,Clitellata,Tubificida,Naididae,Dero,1
2090,Dero trifida,species,worms,1040507,Animalia,Annelida,Clitellata,Tubificida,Naididae,Dero,1
2270,Slavina appendiculata,species,worms,157597,Animalia,Annelida,Clitellata,Tubificida,Naididae,Slavina,1
2270,Slavina appendiculata,species,worms,157597,Animalia,Annelida,Clitellata,Tubificida,Naididae,Slavina,1
2270,Slavina appendiculata,species,worms,157597,Animalia,Annelida,Clitellata,Tubificida,Naididae,Slavina,1
2410,Aulodrilus limnobius,species,worms,1040644,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2410,Aulodrilus limnobius,species,worms,1040644,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2410,Aulodrilus limnobius,species,worms,1040644,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2430,Aulodrilus pigueti,species,worms,1040647,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2430,Aulodrilus pigueti,species,worms,1040647,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2430,Aulodrilus pigueti,species,worms,1040647,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2450,Aulodrilus japonicus,species,worms,1037336,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2450,Aulodrilus japonicus,species,worms,1037336,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2450,Aulodrilus japonicus,species,worms,1037336,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2470,Bothrioneurum vejdovskyanum,species,worms,1040573,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,1
2490,Branchiura sowerbyi,species,worms,182695,Animalia,Annelida,Clitellata,Tubificida,Naididae,Branchiura,0
2490,Branchiura sowerbyi,species,worms,182695,Animalia,Annelida,Clitellata,Tubificida,Naididae,Branchiura,0
2490,Branchiura sowerbyi,species,worms,182695,Animalia,Annelida,Clitellata,Tubificida,Naididae,Branchiura,0
2510,Ilyodrilus frantzi,species,worms,1040676,Animalia,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,1
2510,Ilyodrilus frantzi,species,worms,1040676,Animalia,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,1
2510,Ilyodrilus frantzi,species,worms,1040676,Animalia,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,1
2530,Ilyodrilus templetoni,species,worms,992890,Animalia,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,1
2530,Ilyodrilus templetoni,species,worms,992890,Animalia,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,1
2530,Ilyodrilus templetoni,species,worms,992890,Animalia,Annelida,Clitellata,Tubificida,Naididae,Ilyodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2550,Limnodrilus hoffmeisteri,species,worms,137556,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2570,Limnodrilus udekemianus,species,worms,157593,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2570,Limnodrilus udekemianus,species,worms,157593,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2570,Limnodrilus udekemianus,species,worms,157593,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,1
2610,Psammoryctides californianus,species,worms,1040661,Animalia,Annelida,Clitellata,Tubificida,Naididae,Psammoryctides,1
2610,Psammoryctides californianus,species,worms,1040661,Animalia,Annelida,Clitellata,Tubificida,Naididae,Psammoryctides,1
2610,Psammoryctides californianus,species,worms,1040661,Animalia,Annelida,Clitellata,Tubificida,Naididae,Psammoryctides,1
2630,Quistadrilus multisetosus,species,worms,1037349,Animalia,Annelida,Clitellata,Tubificida,Naididae,Quistadrilus,1
2630,Quistadrilus multisetosus,species,worms,1037349,Animalia,Annelida,Clitellata,Tubificida,Naididae,Quistadrilus,1
2630,Quistadrilus multisetosus,species,worms,1037349,Animalia,Annelida,Clitellata,Tubificida,Naididae,Quistadrilus,1
2650,Embolocephalus nikolskyi,species,worms,1040959,Animalia,Annelida,Clitellata,Tubificida,Naididae,Embolocephalus,1
2650,Embolocephalus nikolskyi,species,worms,1040959,Animalia,Annelida,Clitellata,Tubificida,Naididae,Embolocephalus,1
2650,Embolocephalus nikolskyi,species,worms,1040959,Animalia,Annelida,Clitellata,Tubificida,Naididae,Embolocephalus,1
2720,Tubificoides heterochaetus,species,worms,137577,Animalia,Annelida,Clitellata,Tubificida,Naididae,Tubificoides,1
2720,Tubificoides heterochaetus,species,worms,137577,Animalia,Annelida,Clitellata,Tubificida,Naididae,Tubificoides,1
2720,Tubificoides heterochaetus,species,worms,137577,Animalia,Annelida,Clitellata,Tubificida,Naididae,Tubificoides,1
2730,Varichaetadrilus angustipenis,species,worms,1041002,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
2730,Varichaetadrilus angustipenis,species,worms,1041002,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
2730,Varichaetadrilus angustipenis,species,worms,1041002,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
2730,Varichaetadrilus angustipenis,species,worms,1041002,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
2730,Varichaetadrilus angustipenis,species,worms,1041002,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
2730,Varichaetadrilus angustipenis,species,worms,1041002,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
2730,Varichaetadrilus angustipenis,species,worms,1041002,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
2730,Varichaetadrilus angustipenis,species,worms,1041002,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
2730,Varichaetadrilus angustipenis,species,worms,1041002,Animalia,Annelida,Clitellata,Tubificida,Naididae,Varichaetadrilus,0
2810,Sparganophilus tamesis,species,worms,992855,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus,1
2810,Sparganophilus tamesis,species,worms,992855,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus,1
2810,Sparganophilus tamesis,species,worms,992855,Animalia,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus,1
2840,Altmanella freidris,species,worms,1040874,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Altmanella,1
2840,Altmanella freidris,species,worms,1040874,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Altmanella,1
2840,Altmanella freidris,species,worms,1040874,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Altmanella,1
2850,Lumbriculus variegatus,species,worms,177538,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus,1
2850,Lumbriculus variegatus,species,worms,177538,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus,1
2850,Lumbriculus variegatus,species,worms,177538,Animalia,Annelida,Clitellata,Lumbriculida,Lumbriculidae,Lumbriculus,1
2970,Mooreobdella microstoma,species,itis,NA,Animalia,Annelida,Clitellata,Hirudinida,Erpobdellidae,Mooreobdella,1
2970,Mooreobdella microstoma,species,itis,NA,Animalia,Annelida,Clitellata,Hirudinida,Erpobdellidae,Mooreobdella,1
2970,Mooreobdella microstoma,species,itis,NA,Animalia,Annelida,Clitellata,Hirudinida,Erpobdellidae,Mooreobdella,1
3050,Boccardiella ligerica,species,worms,131114,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3050,Boccardiella ligerica,species,worms,131114,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3050,Boccardiella ligerica,species,worms,131114,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3050,Boccardiella ligerica,species,worms,131114,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3050,Boccardiella ligerica,species,worms,131114,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3050,Boccardiella ligerica,species,worms,131114,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3050,Boccardiella ligerica,species,worms,131114,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3050,Boccardiella ligerica,species,worms,131114,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3050,Boccardiella ligerica,species,worms,131114,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,0
3090,Pseudopolydora kempi,species,worms,131167,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,0
3090,Pseudopolydora kempi,species,worms,131167,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,0
3090,Pseudopolydora kempi,species,worms,131167,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,0
3110,Streblospio benedicti,species,worms,131191,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,0
3110,Streblospio benedicti,species,worms,131191,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,0
3110,Streblospio benedicti,species,worms,131191,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,0
3130,Marenzelleria neglecta,species,worms,181523,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,0
3130,Marenzelleria neglecta,species,worms,181523,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,0
3130,Marenzelleria neglecta,species,worms,181523,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria,0
3170,Heteromastus filiformis,species,worms,129884,Animalia,Annelida,Polychaeta,NA,Capitellidae,Heteromastus,0
3170,Heteromastus filiformis,species,worms,129884,Animalia,Annelida,Polychaeta,NA,Capitellidae,Heteromastus,0
3170,Heteromastus filiformis,species,worms,129884,Animalia,Annelida,Polychaeta,NA,Capitellidae,Heteromastus,0
3330,Hediste limnicola,species,worms,333585,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,1
3330,Hediste limnicola,species,worms,333585,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,1
3330,Hediste limnicola,species,worms,333585,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,1
3370,Alitta succinea,species,worms,234850,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,0
3370,Alitta succinea,species,worms,234850,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,0
3370,Alitta succinea,species,worms,234850,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,0
3430,Manayunkia speciosa,species,worms,155021,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3430,Manayunkia speciosa,species,worms,155021,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3430,Manayunkia speciosa,species,worms,155021,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3430,Manayunkia speciosa,species,worms,155021,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3430,Manayunkia speciosa,species,worms,155021,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3430,Manayunkia speciosa,species,worms,155021,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3430,Manayunkia speciosa,species,worms,155021,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3430,Manayunkia speciosa,species,worms,155021,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3430,Manayunkia speciosa,species,worms,155021,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,0
3450,Laonome calida,species,worms,608090,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Laonome,0
3450,Laonome calida,species,worms,608090,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Laonome,0
3450,Laonome calida,species,worms,608090,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Laonome,0
3450,Laonome calida,species,worms,608090,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Laonome,0
