organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
1010,Girardia tigrina,species,Girardia tigrina,species,target,Ball and Reynoldson 1981,NA,NA,NA,body_length_max,1,18,mm,NA,NA
1010,Girardia tigrina,species,Giardia anceps,genus,congener,Cazzaniga et al 2002,Argentina,NA,NA,feeding_position,1,Pc,categorical,"freshwater planarians are carnivores that generally feed on living, dying or recently dead invertebrates",NA
1010,Girardia tigrina,species,Giardia tigrina,species,target,Stocchino et al 2019,Italy,NA,NA,larva,1,N,categorical,"note of rare individuals exhibiting sexual reproduction, but majority of species exhibit fisiparous reproduction",NA
1130,Prostoma graecense,species,Prostoma graecense,species,target,Pennak 1989,NA,NA,NA,body_length_max,1,30,mm,NA,NA
1130,Prostoma graecense,species,Prostoma graecense,genus,congener,Cook and Herrmann 1997,United States,Colorado,Bogg's Creek,feeding_position,1,Pc,categorical,NA,NA
1130,Prostoma graecense,species,Prostoma graecense,species,target,Tamburi and Cazzaniga 2006,Argentina,Buenos Aires,Naposta Grande stream,larva,1,N,categorical,no free-swimming larval stage,NA
1230,Dorylaimus sp. A,genus,Dorylaimus sp.,genus,congener,Andrassy 2009,NA,NA,NA,body_length_max,1,9,mm,NA,NA
1230,Dorylaimus sp. A,genus,Dorylaimus spp.,genus,target,Shafqat et al 1987,NA,NA,NA,feeding_position,1,Po,categorical,the dorylaim predators derive their food also from algae and fungi besides feeding on nematodes and hence are consideredomnivorous ,NA
1230,Dorylaimus sp. A,genus,Dorylaimus stagnalis,species,congener,Shafqat et al 1991,India,NA,NA,larva,1,N,categorical,develop into juvenile in egg,NA
2090,Dero trifida,species,Dero trifida,species,target,Righi and Hamoui 2002,Surinam,NA,NA,body_length_max,1,3.8,mm,body diameter: 225-282 um,NA
2090,Dero trifida,species,Dero trifida,species,target,Loden 1979,United States,North Carolina,Cape Fear River,feeding_position,1,Sb,categorical,NA,NA
2090,Dero trifida,species,Dero limosa,species,congener,Stephenson 1916,NA,NA,NA,larva,1,N,categorical,NA,NA
2270,Slavina appendiculata,species,Slavina appendiculata,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,20,mm,NA,NA
2270,Slavina appendiculata,species,Slavina appendiculata,species,target,Towns 1981,New Zealand,North Island of New Zealand,Waitakere River ,feeding_position,1,Sb,categorical,NA,"population found near decayed periohyton rather than living algae, location thought to be associated with diet"
2270,Slavina appendiculata,species,Slavina punjabensis,species,congener,Stephenson 1916,NA,NA,NA,larva,1,N,categorical,members of the genus mostly reproduce by architomy,NA
2410,Aulodrilus limnobius,species,Aulodrilus limnobius,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,15,mm,NA,NA
2410,Aulodrilus limnobius,species,Aulodrilus japonicus,species,congener,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2410,Aulodrilus limnobius,species,Aulodrilus japonicus,species,congener,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,members of the genus mostly reproduce by architomy,NA
2430,Aulodrilus pigueti,species,Aulodrilus pigueti,species,target,Brinkhurst and Jamieson 1971,NA,NA,NA,body_length_max,1,28,mm,NA,NA
2430,Aulodrilus pigueti,species,Aulodrilus japonicus,species,congener,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2430,Aulodrilus pigueti,species,Aulodrilus japonicus,species,congener,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,members of the genus mostly reproduce by architomy,NA
2450,Aulodrilus japonicus,species,Aulodrilus japonicus,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,25,mm,NA,NA
2450,Aulodrilus japonicus,species,Aulodrilus japonicus,species,target,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2450,Aulodrilus japonicus,species,Aulodrilus japonicus,species,target,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,NA,NA
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,NA,Rokytna River,armoring,1,N,categorical,NA,NA
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,35,mm,NA,NA
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,NA,Rokytna River,larva,1,N,categorical,NA,NA
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,NA,Rokytna River,living_habit,1,B,categorical,NA,NA
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,NA,Rokytna River,reproduction,1,A,categorical,architomy; sexual reproduction is very rare,NA
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum sp.,genus,congener,Muniz et al 2011,Uruguay,NA,Montevideo coastal zone,salinity_tolerance,1,27.5,ppt,measured in field at bottom of water column (see Tables 1 and 3),not necessarily upper salinity limit; just highest value where species observed
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,NA,Rokytna River,thermal_tolerance,1,19.4,C,highest temperature measured during monthly field sampling over two years in one short section of river (Table 1),not necessarily upper thermal limit; just highest value where species observed
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum sp.,genus,congener,Muniz et al 2011,Uruguay,NA,Montevideo coastal zone,thermal_tolerance,2,25.5,C,measured at bottom of water column in field (see Tables 1 and 3),not necessarily upper thermal limit; just highest value where species observed
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,NA,Rokytna River,voltinism,1,U,categorical,field observation,NA
2490,Branchiura sowerbyi,species,Branchiura sowerbyi,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,270,mm,based on max of range for genus,NA
2490,Branchiura sowerbyi,species,Branchiura sowerbyi,species,target,Carroll and Dorris,United States,Oklahoma,NA,feeding_position,1,Sb,categorical,NA,NA
2490,Branchiura sowerbyi,species,Branchiura sowerbyi,species,target,Casellato 1984,Italy,Padua,NA,larva,1,N,categorical,emerge from cocoons as worms,NA
2510,Ilyodrilus frantzi,species,Ilyodrilus frantzi,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,20,mm,NA,NA
2510,Ilyodrilus frantzi,species,Ilyodrilus frantzi,species,target,Chapman and Mitchell 1986,United States,Oregon,Columbia River,feeding_position,1,Sb,categorical,NA,NA
2510,Ilyodrilus frantzi,species,Ilyodrilus templetoni,species,congener,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,NA,NA
2530,Ilyodrilus templetoni,species,Ilyodrilus templetoni,species,target,Pennak 1989,NA,NA,NA,body_length_max,1,65,mm,NA,NA
2530,Ilyodrilus templetoni,species,Ilyodrilus templetoni,species,target,Timm 2020,Estonia,NA,NA,feeding_position,1,Sb,categorical,NA,NA
2530,Ilyodrilus templetoni,species,Ilyodrilus templetoni,species,target,Timm 2020,Estonia,NA,NA,larva,1,N,categorical,NA,NA
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Kennedy 1966,England,NA,"multiple rivers, lakes, ponds, streams, canals",armoring,1,N,categorical,NA,NA
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm and Martin 2019,NA,NA,NA,body_length_max,1,60,mm,NA,NA
