organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,population_country,population_state,population_description,trait,trait_value_rank,trait_value,trait_unit,trait_description,notes
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,,Rokytna River,armoring,1,N,categorical,soft bodied,
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Kennedy 1966,England,,"multiple rivers, lakes, ponds, streams, canals",armoring,1,N,categorical,soft bodied without case,
2730,Varichaetadrilus angustipenis,species,Varichaetadrilus angustipenis,species,target,Liu et al 2017,,,,armoring,1,N,categorical,an annelid worm,
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,,,armoring,1,N,categorical,soft bodied,
3430,Manayunkia speciosa,species,Manayunkia speciosa,species,target,Willson et al 2010,United States,CA and OR,multiple rivers and creeks,armoring,1,N,categorical,soft bodied but constructs tube,
3450,Laonome calida,species,Laonome calida,species,target,Jones et al 2009,United States,CA,San Francisco Bay,armoring,1,N,categorical,,
4090,Cyprideis sp. A,genus,Cyprideis torosa,species,congener,Frenzel et al 2012,Germany,,brackish lagoon in Baltic Sea,armoring,1,G,categorical,calcite carapace,
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,Akiyama and Yamamoto 2004,Japan,,Seto Inland Sea,armoring,1,P,categorical,exoskeleton,
4550,Sinocorophium alienense,species,Corophium alienense,species,synonym,Cohen and Carlton 1995,,,,armoring,1,P,categorical,"exoskeleton, but tube building",
4610,Americorophium spinicorne,species,Corophium spinicorne ,species,synonym,Hiebert et al 2016,United States,,,armoring,1,P,categorical,exoskeleton,
4630,Americorophium stimpsoni,species,Corophium sp.,genus,confamiliar,Crawford 1937,,,,armoring,1,P,categorical,"generalization for whole genus: exoskeleton, amphopod, but tube dwelling",
4750,Gammarus daiberi,species,Gammarus spp.,genus,congener,Sutcliffe 1992,,,,armoring,1,P,categorical,"amphipod, exoskeleton/crustacean",
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,Sousa et al 2008,,,,armoring,1,G,categorical,shells-clam,
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,United States,California,San Francisco Bay,armoring,1,G,categorical,shell,
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,Schenkova et al 2006,Czech Republic,,Rokytna River,dispersal,1,N,categorical,,
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,Timm 2020,Estonia,,,dispersal,1,N,categorical,produces cocoons containing eggs that hatch into small worms,
2730,Varichaetadrilus angustipenis,species,Limnodrilus hoffmeisteri,species,confamiliar,Block et al 1981,United States,Indiana,Little Calumet River,dispersal,1,N,categorical,create cocoons of eggs and developing young worms.,
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Hempel 1957 cited in Wolff 1973,Germany,,,dispersal,1,P,categorical,eggs are laid in tube and then hatch into ciliated swimming morula larvae,
