organism_code,target_taxon_name,body_size,native
4410,Uromunna,1.5,0
4270,Sinelobus stanfordi,3.6,0
3430,Manayunkia speciosa,4,0
6750,Euglesa casertana,4,1
6770,Euglesa compressa,4,1
4230,Nippoleucon hinumensis,5.5,0
4550,Sinocorophium alienense,6.4,0
6490,Fluminicola,7,1
4610,Americorophium spinicorne,7.5,1
4630,Americorophium stimpsoni,7.8,1
6530,Gyraulus circumstriatus,8,1
4510,Ampelisca abdita,8.2,0
2720,Tubificoides heterochaetus,9,1
4350,Gnorimosphaeroma insulare,10,1
4370,Gnorimosphaeroma oregonense,10,1
4810,Hyalella,10,1
2840,Altmanella freidris,12,1
4750,Gammarus daiberi,12.5,0
2410,Aulodrilus limnobius,15,1
2730,Varichaetadrilus angustipenis,15,0
3450,Laonome calida,15,0
4150,Amphibalanus improvisus,17,0
1010,Girardia tigrina,18,1
3050,Boccardiella ligerica,18,0
5410,Procladius,18,1
5550,Cryptochironomus,18,1
2270,Slavina appendiculata,20,1
2510,Ilyodrilus frantzi,20,1
3110,Streblospio benedicti,20,0
4950,Rhithropanopeus harrisii,21.3,0
3090,Pseudopolydora kempi,22,0
4670,Grandidierella japonica,22,0
2450,Aulodrilus japonicus,25,1
4310,Synidotea laticauda,25.3,0
6890,Potamocorbula amurensis,27.5,0
2430,Aulodrilus pigueti,28,1
1130,Prostoma graecense,30,1
2090,Dero trifida,30,1
2470,Bothrioneurum vejdovskyanum,35,1
2630,Quistadrilus multisetosus,35,1
6630,Melanoides tuberculata,36,0
6810,Macoma petalum,38,0
2650,Embolocephalus nikolskyi,50,1
2970,Mooreobdella microstoma,50,1
2550,Limnodrilus hoffmeisteri,60,1
6730,Corbicula fluminea,60,0
2530,Ilyodrilus templetoni,65,1
2610,Psammoryctides californianus,75,1
2570,Limnodrilus udekemianus,90,1
2850,Lumbriculus variegatus,100,1
3130,Marenzelleria neglecta,115,0
3370,Alitta succinea,170,0
3170,Heteromastus filiformis,180,0
2810,Sparganophilus tamesis,200,1
2490,Branchiura sowerbyi,270,0
1090,Turbellaria,NA,1
1230,Dorylaimus,9,1
1270,Actinolaiminae,NA,1
1290,Mermithidae,NA,1
3330,Hediste limnicola,122,1
4030,Isocypris,1.2,1
4050,Candona,1.3,1
4090,Cyprideis,1.1,1
6570,Physa,6.9,1
