organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,lit_taxon_type_ord,target_genus,lit_genus,target_family,lit_family,database,trait_record_id,citation,population_state,population_description,study_latitude,study_longitude,trait_group,trait_value,trait_unit,aphia_id,life_stage,quality_status,link
4410,Uromunna,species,Uromunna,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Uromunna reynoldsi (Schultz 1969),NA,NA,NA,NA,body_size_max,1.5,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/-438
4270,Sinelobus stanfordi,species,Sinelobus stanfordi,species,target,1,NA,NA,NA,NA,NEMESIS,NA,"3.6 for males, 3.0 for females (Gardiner 1975, 'Sinelobus stanfordi from several locations)",NA,NA,NA,NA,body_size_max,3.6,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/-235
3430,Manayunkia speciosa,Species,Manayunkia eriensis,species,synonym,2,Manayunkia,Manayunkia,Fabriciidae,Sabellidae,USGS,6373,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm,NA,NA,NA,NA
6750,Euglesa casertana,Species,Pisidium spp.,genus,congener_synonym,4,Euglesa,Pisidium,Sphaeriidae,Sphaeriidae,USGS,6683,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm,NA,NA,NA,NA
6770,Euglesa compressa,Species,Pisidium spp.,genus,congener_synonym,4,Euglesa,Pisidium,Sphaeriidae,Sphaeriidae,USGS,6683,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm,NA,NA,NA,NA
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,1,NA,NA,NA,NA,NEMESIS,NA,"Female paratype, Japan.  The male holotype is 3.7 mm (Gamo 1967).",NA,NA,NA,NA,body_size_max,5.5,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/-239
4550,Sinocorophium alienense,species,Sinocorophium alienense,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Adult female (Chapman 1988),NA,NA,NA,NA,body_size_max,6.4,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/93610
6490,Fluminicola,Genus,Fluminicola spp.,genus,congener,3,Fluminicola,Fluminicola,Lithoglyphidae,Hydrobiidae,USGS,6646,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Pacific Northwest (coastal),NA,NA,body_size_max,7,mm,NA,NA,NA,NA
4610,Americorophium spinicorne,Species,Americorophium spinicorne,Species,target,1,NA,NA,NA,NA,IEP,NA,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25.",NA,NA,NA,NA,body_size_max,7.5,mm,NA,NA,NA,NA
4630,Americorophium stimpsoni,Species,Americorophium stimpsoni,Species,target,1,NA,NA,NA,NA,IEP,NA,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25.",NA,NA,NA,NA,body_size_max,7.8,mm,NA,NA,NA,NA
6530,Gyraulus circumstriatus,Species,Armiger crista,family,confamilial,5,Gyraulus,Armiger,Planorbidae,Planorbidae,USGS,6281,Ecology and Classification of North American Freshwater Invertebrates,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,8,mm,NA,NA,NA,NA
4510,Ampelisca abdita,species,Ampelisca abdita,species,target,1,NA,NA,NA,NA,NEMESIS,NA,"Adults  (Mills 1964a, Bousfield 1973)",NA,NA,NA,NA,body_size_max,8.2,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/93329
2720,Tubificoides heterochaetus,Species,Tubificoides heterochaetus,species,target,1,NA,NA,NA,NA,worms,NA,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",NA,NA,NA,NA,body_size_max,9,mm,137577,adult,unreviewed,NA
4350,Gnorimosphaeroma insulare,Species,Sphaeroma terebrans,family,confamilial,5,Gnorimosphaeroma,Sphaeroma,Sphaeromatidae,Sphaeromatidae,USGS,6477,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,10,mm,NA,NA,NA,NA
4370,Gnorimosphaeroma oregonense,Species,Sphaeroma terebrans,genus,congener_synonym,4,Gnorimosphaeroma,Sphaeroma,Sphaeromatidae,Sphaeromatidae,USGS,6477,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,10,mm,NA,NA,NA,NA
4810,Hyalella,Genus,Hyalella,Genus,target,1,NA,NA,NA,NA,IEP,NA,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25.",NA,NA,NA,NA,body_size_max,10,mm,NA,NA,NA,NA
2840,Altmanella freidris,Species,Altmanella freidris,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,12,mm,1040874,adult,unreviewed,NA
4750,Gammarus daiberi,species,Gammarus daiberi,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Adult males range from 8 to 12.5 mm.  Females are 6-8 mm (Bousfield 1969),NA,NA,NA,NA,body_size_max,12.5,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/93779
2410,Aulodrilus limnobius,Species,Aulodrilus limnobius,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,15,mm,1040644,adult,unreviewed,NA
2730,Varichaetadrilus angustipenis,Species,Varichaetadrilus angustipenis,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,15,mm,1041002,adult,unreviewed,NA
3450,Laonome calida,species,Laonome calida,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Capa et al. 2011,NA,NA,NA,NA,body_size_max,15,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/-173
4150,Amphibalanus improvisus,species,Amphibalanus improvisus,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Maximum adult width (Henry and McLauglin 1975),NA,NA,NA,NA,body_size_max,17,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/89622
1010,Girardia tigrina,Species,Girardia tigrina,species,target,1,NA,NA,NA,NA,worms,NA,"Ball, I.R.; Reynoldson, T.B. (1981). British Planarians: Platyhelminthes: Tricladida: keys and notes for identification of the species. Synopses of the British fauna (New Series), 19. Cambridge University Press: Cambridge. ISBN 0-521-28272-1. 141 pp.",NA,NA,NA,NA,body_size_max,18,mm,482186,NA,unreviewed,NA
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Blake and Woodwick 1971,NA,NA,NA,NA,body_size_max,18,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/67012
5410,Procladius,Genus,Chironomus spp.,family,confamilial,5,Procladius,Chironomus,Chironomidae,Chironomidae,USGS,5732,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",Wisconsin,NA,NA,NA,body_size_max,18,mm,NA,NA,NA,NA
5550,Cryptochironomus,Genus,Chironomus spp.,family,confamilial,5,Cryptochironomus,Chironomus,Chironomidae,Chironomidae,USGS,5732,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",Wisconsin,NA,NA,NA,body_size_max,18,mm,NA,NA,NA,NA
2270,Slavina appendiculata,Species,Slavina appendiculata,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,20,mm,157597,adult,unreviewed,NA
2510,Ilyodrilus frantzi,Species,Ilyodrilus frantzi,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,20,mm,1040676,adult,unreviewed,NA
3110,Streblospio benedicti,Species,Streblospio benedicti,species,target,1,NA,NA,NA,NA,worms,NA,"Bridges, T. S.; Heppell, S. (1996). Fitness Consequences of Maternal Effects in Streblospio Benedicti (Annelida: Polychaeta). American Zoology. 36:132-146.",NA,NA,NA,NA,body_size_max,20,mm,131191,NA,unreviewed,NA
4950,Rhithropanopeus harrisii,species,Rhithropanopeus harrisii,species,target,1,NA,NA,NA,NA,NEMESIS,NA,"Adult male.  Adult female, 16 mm (Williams 1984)",NA,NA,NA,NA,body_size_max,21.3,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/98790
3090,Pseudopolydora kempi,species,Pseudopolydora kempi,species,target,1,NA,NA,NA,NA,NEMESIS,NA,"Japan, Sato-Okoshi 2000. San Francisco Bay animals averaged 12 mm (Light 1978).",NA,NA,NA,NA,body_size_max,22,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/66927
4670,Grandidierella japonica,species,Grandidierella japonica,species,target,1,NA,NA,NA,NA,NEMESIS,NA,"22 mm adult male, 13 mm adult female (Chapman and Dorman 1975)",NA,NA,NA,NA,body_size_max,22,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/-82
2450,Aulodrilus japonicus,Species,Aulodrilus japonicus,species,target,1,NA,NA,NA,NA,worms,NA,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",NA,NA,NA,NA,body_size_max,25,mm,1037336,adult,unreviewed,NA
