organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,database,field_lab,population_country,population_state,population_description,trait_group,trait_value_rank,trait_value,trait_unit
4410,Uromunna,species,Uromunna,species,target,Uromunna reynoldsi (Schultz 1969),NEMESIS,NA,NA,NA,NA,body_size_max,NA,1.5,mm
4270,Sinelobus stanfordi,species,Sinelobus stanfordi,species,target,"3.6 for males, 3.0 for females (Gardiner 1975, 'Sinelobus stanfordi from several locations)",NEMESIS,NA,NA,NA,NA,body_size_max,NA,3.6,mm
3430,Manayunkia speciosa,species,Manayunkia eriensis,species,synonym,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,In all regions where this species occurs,body_size_max,NA,4,mm
6750,Euglesa casertana,species,Pisidium spp.,genus,congener_synonym,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,In all regions where this species occurs,body_size_max,NA,4,mm
6770,Euglesa compressa,species,Pisidium spp.,genus,congener_synonym,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,In all regions where this species occurs,body_size_max,NA,4,mm
4230,Nippoleucon hinumensis,species,Nippoleucon hinumensis,species,target,"Female paratype, Japan.  The male holotype is 3.7 mm (Gamo 1967).",NEMESIS,NA,NA,NA,NA,body_size_max,NA,5.5,mm
4550,Sinocorophium alienense,species,Sinocorophium alienense,species,target,Adult female (Chapman 1988),NEMESIS,NA,NA,NA,NA,body_size_max,NA,6.4,mm
6490,Fluminicola,genus,Fluminicola spp.,genus,congener,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,Pacific Northwest (coastal),body_size_max,NA,7,mm
4610,Americorophium spinicorne,species,Americorophium spinicorne,species,target,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25.",IEP,NA,NA,NA,NA,body_size_max,NA,7.5,mm
4630,Americorophium stimpsoni,species,Americorophium stimpsoni,species,target,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25.",IEP,NA,NA,NA,NA,body_size_max,NA,7.8,mm
6530,Gyraulus circumstriatus,species,Armiger crista,family,confamilial,Ecology and Classification of North American Freshwater Invertebrates,USGS,NA,NA,NA,Northern Midwest (Great Lakes states),body_size_max,NA,8,mm
4510,Ampelisca abdita,species,Ampelisca abdita,species,target,"Adults  (Mills 1964a, Bousfield 1973)",NEMESIS,NA,NA,NA,NA,body_size_max,NA,8.2,mm
2720,Tubificoides heterochaetus,species,Tubificoides heterochaetus,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,9,mm
2720,Tubificoides heterochaetus,species,Tubificoides heterochaetus,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,9,mm
4810,Hyalella,genus,Hyalella,genus,target,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25.",IEP,NA,NA,NA,NA,body_size_max,NA,10,mm
4350,Gnorimosphaeroma insulare,species,Sphaeroma terebrans,family,confamilial,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,Gulf Coast / Delta Area (TX - FL),body_size_max,NA,10,mm
4350,Gnorimosphaeroma insulare,species,Thermosphaeroma spp.,family,confamilial,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,Desert Southwest,body_size_max,NA,10,mm
4350,Gnorimosphaeroma insulare,species,Sphaeromatidae,family,confamilial,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,In all regions where this species occurs,body_size_max,NA,10,mm
4370,Gnorimosphaeroma oregonense,species,Sphaeroma terebrans,genus,congener_synonym,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,Gulf Coast / Delta Area (TX - FL),body_size_max,NA,10,mm
2840,Altmanella freidris,species,Altmanella freidris,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,12,mm
4750,Gammarus daiberi,species,Gammarus daiberi,species,target,Adult males range from 8 to 12.5 mm.  Females are 6-8 mm (Bousfield 1969),NEMESIS,NA,NA,NA,NA,body_size_max,NA,12.5,mm
2410,Aulodrilus limnobius,species,Aulodrilus limnobius,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,15,mm
2410,Aulodrilus limnobius,species,Aulodrilus limnobius,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,15,mm
2730,Varichaetadrilus angustipenis,species,Varichaetadrilus angustipenis,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,15,mm
3450,Laonome calida,species,Laonome calida,species,target,Capa et al. 2011,NEMESIS,NA,NA,NA,NA,body_size_max,NA,15,mm
4150,Amphibalanus improvisus,species,Amphibalanus improvisus,species,target,Maximum adult width (Henry and McLauglin 1975),NEMESIS,NA,NA,NA,NA,body_size_max,NA,17,mm
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Blake and Woodwick 1971,NEMESIS,NA,NA,NA,NA,body_size_max,NA,18,mm
5550,Cryptochironomus,genus,Chironomus spp.,family,confamilial,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",USGS,NA,NA,Wisconsin,NA,body_size_max,NA,18,mm
5410,Procladius,genus,Chironomus spp.,family,confamilial,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",USGS,NA,NA,Wisconsin,NA,body_size_max,NA,18,mm
1010,Girardia tigrina,species,Girardia tigrina,species,target,"Ball, I.R.; Reynoldson, T.B. (1981). British Planarians: Platyhelminthes: Tricladida: keys and notes for identification of the species. Synopses of the British fauna (New Series), 19. Cambridge University Press: Cambridge. ISBN 0-521-28272-1. 141 pp.",worms,NA,NA,NA,NA,body_size_max,NA,18,mm
2510,Ilyodrilus frantzi,species,Ilyodrilus frantzi,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
2510,Ilyodrilus frantzi,species,Ilyodrilus frantzi,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
2270,Slavina appendiculata,species,Slavina appendiculata,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
2270,Slavina appendiculata,species,Slavina appendiculata,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
