organism_code,common_5perc,native,species_name,genus,species,origin,comments
6890,1,0,Potamocorbula amurensis,Potamocorbula,amurensis,Introduced,NA
2730,1,0,Varichaetadrilus angustipenis,Varichaetadrilus,angustipenis,Introduced,NA
6730,1,0,Corbicula fluminea,Corbicula,fluminea,Introduced,NA
4550,1,0,Sinocorophium alienense,Sinocorophium,alienense,Introduced,as Corophium alienense
4750,1,0,Gammarus daiberi,Gammarus,daiberi,Introduced,NA
3430,1,0,Manayunkia speciosa,Manayunkia,speciosa,Cryptogenic,formerly Introduced
3450,1,0,Laonome calida,Laonome,calida,Introduced,as Laonome cf. calida
4230,1,0,Nippoleucon hinumensis,Nippoleucon,hinumensis,Introduced,NA
3050,1,0,Boccardiella ligerica,Boccardiella,ligerica,Introduced,NA
3130,1,0,Marenzelleria neglecta,Marenzelleria,neglecta,Introduced,NA
4150,1,0,Balanus improvisus,Balanus,improvisus,Introduced,as Amphibalanus improvisus
6630,1,0,Melanoides tuberculata,Melanoides,tuberculata,Introduced,NA
4670,1,0,Grandidierella japonica,Grandidierella,japonica,Introduced,NA
3090,1,0,Pseudopolydora kempi,Pseudopolydora,kempi,Introduced,NA
2490,1,0,Branchiura sowerbyi,Branchiura,sowerbyi,Introduced,NA
6810,1,0,Limecola petalum,Limecola,petalum,Introduced,NA
4310,1,0,Synidotea laticauda,Synidotea,laevidorsalis,Introduced,as S. laticauda
3370,1,0,Alitta succinea,Alitta,succinea,Introduced,NA
4510,1,0,Ampelisca abdita,Ampelisca,abdita,Introduced,NA
4410,1,0,Uromunna sp. A,Uromunna,sp. A,Introduced,NA
4270,1,0,Sinelobus stanfordi,Sinelobus,sp. A,Introduced?,as Sinelobus cf. stanfordi (as Sinelobus stanfordi in the past?)
3110,1,0,Streblospio benedicti,Streblospio,benedicti,Introduced,NA
4950,1,0,Rhithropanopeus harrisii,Rhithropanopeus,harrisii,Introduced,NA
3170,1,0,Heteromastus filiformis,Heteromastus,filiformis,Introduced,NA
6870,0,0,Mya arenaria,Mya,arenaria,Introduced,NA
4740,0,0,Crangonyx floridanus,Crangonyx,floridanus,Introduced,NA
2590,0,0,Potamothrix bavaricus,Potamothrix,bavaricus,Introduced,NA
