organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,lit_taxon_type_ord,target_genus,lit_genus,target_family,lit_family,database,trait_record_id,citation,population_state,population_description,study_latitude,study_longitude,trait_group,trait_value,trait_unit
1130,Prostoma graecense,Species,Prostoma graecense,species,target,1,Prostoma,Prostoma,Prostomatidae,Tetrastemmatidae,USGS,6320,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2090,Dero trifida,Species,Ophidonais serpentina,family,confamilial,5,Dero,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2270,Slavina appendiculata,Species,Ophidonais serpentina,family,confamilial,5,Slavina,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2410,Aulodrilus limnobius,Species,Ophidonais serpentina,family,confamilial,5,Aulodrilus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2430,Aulodrilus pigueti,Species,Ophidonais serpentina,family,confamilial,5,Aulodrilus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2450,Aulodrilus japonicus,Species,Ophidonais serpentina,family,confamilial,5,Aulodrilus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2470,Bothrioneurum vejdovskyanum,Species,Ophidonais serpentina,family,confamilial,5,Bothrioneurum,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2490,Branchiura sowerbyi,Species,Ophidonais serpentina,family,confamilial,5,Branchiura,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2510,Ilyodrilus frantzi,Species,Ilyodrilus templetoni,genus,congener,3,Ilyodrilus,Ilyodrilus,Naididae,Tubificidae,USGS,6347,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,65,mm
2510,Ilyodrilus frantzi,Species,Ophidonais serpentina,family,confamilial,5,Ilyodrilus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2530,Ilyodrilus templetoni,Species,Ilyodrilus templetoni,species,target,1,Ilyodrilus,Ilyodrilus,Naididae,Tubificidae,USGS,6347,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,65,mm
2530,Ilyodrilus templetoni,Species,Tubifex tubifex,genus,congener_synonym,4,Ilyodrilus,Tubifex,Naididae,Tubificidae,USGS,6337,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,65,mm
2530,Ilyodrilus templetoni,Species,Ophidonais serpentina,family,confamilial,5,Ilyodrilus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2550,Limnodrilus hoffmeisteri,Species,Tubifex tubifex,genus,congener_synonym,4,Limnodrilus,Tubifex,Naididae,Tubificidae,USGS,6337,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,65,mm
2550,Limnodrilus hoffmeisteri,Species,Ophidonais serpentina,family,confamilial,5,Limnodrilus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2570,Limnodrilus udekemianus,Species,Ophidonais serpentina,family,confamilial,5,Limnodrilus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2610,Psammoryctides californianus,Species,Ophidonais serpentina,family,confamilial,5,Psammoryctides,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2630,Quistadrilus multisetosus,Species,Tubifex tubifex,genus,congener_synonym,4,Quistadrilus,Tubifex,Naididae,Tubificidae,USGS,6337,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,65,mm
2630,Quistadrilus multisetosus,Species,Ophidonais serpentina,family,confamilial,5,Quistadrilus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2650,Embolocephalus nikolskyi,Species,Ophidonais serpentina,family,confamilial,5,Embolocephalus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2720,Tubificoides heterochaetus,Species,Ophidonais serpentina,family,confamilial,5,Tubificoides,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2730,Varichaetadrilus angustipenis,Species,Ophidonais serpentina,family,confamilial,5,Varichaetadrilus,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
2840,Altmanella freidris,Species,Lumbriculus spp.,family,confamilial,5,Altmanella,Lumbriculus,Lumbriculidae,Lumbriculidae,USGS,7607,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,100,mm
2850,Lumbriculus variegatus,Species,Lumbriculus spp.,genus,congener,3,Lumbriculus,Lumbriculus,Lumbriculidae,Lumbriculidae,USGS,7607,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,100,mm
2970,Mooreobdella microstoma,Species,Mooreobdella microstoma,species,target,1,Mooreobdella,Mooreobdella,Erpobdellidae,Glossiphoniidae,USGS,6442,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,40,mm
2970,Mooreobdella microstoma,Species,Mooreobdella microstoma,species,target,1,Mooreobdella,Mooreobdella,Erpobdellidae,Glossiphoniidae,USGS,7988,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,50,mm
2970,Mooreobdella microstoma,Species,Mooreobdella melanostoma,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Erpobdellidae,USGS,6438,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,55,mm
2970,Mooreobdella microstoma,Species,Mooreobdella bucera,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Erpobdellidae,USGS,6440,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,Michigan,NA,NA,NA,body_size_max,20,mm
2970,Mooreobdella microstoma,Species,Mooreobdella tetragon,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Erpobdellidae,USGS,6443,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,40,mm
2970,Mooreobdella microstoma,Species,Mooreobdella fervida,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Glossiphoniidae,USGS,6441,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,30,mm
2970,Mooreobdella microstoma,Species,Mooreobdella fervida,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Glossiphoniidae,USGS,7987,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,50,mm
2970,Mooreobdella microstoma,Species,Dina anoculata,genus,congener_synonym,4,Mooreobdella,Dina,Erpobdellidae,Erpobdellidae,USGS,6439,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Pacific Northwest (coastal),NA,NA,body_size_max,12.5,mm
