aphia_id,organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,lit_taxon_type_ord,database,citation,life_stage,trait_group,trait_value,trait_unit,quality_status
131191,3110,Streblospio benedicti,Species,Streblospio benedicti,species,target,1,worms,"Bridges, T. S.; Heppell, S. (1996). Fitness Consequences of Maternal Effects in Streblospio Benedicti (Annelida: Polychaeta). American Zoology. 36:132-146.",NA,body_size_max,20,mm,unreviewed
131191,3110,Streblospio benedicti,Species,Streblospio benedicti,species,target,1,worms,"Kevrekidis, T. (2005). Population dynamics, reproductive biology and productivity of Streblospio shrubsolii (Polychaeta: Spionidae) in different sediments at low salinities in a Mediterranean lagoon (Monolimni Lagoon, Northern Aegean). International Review of Hydrobiology. 90(1): 100-121.",NA,body_size_max,20,mm,unreviewed
131191,3110,Streblospio benedicti,Species,Streblospio benedicti,species,target,1,worms,"Sardá, R.; Martin, D. (1993). Populations of Streblospio (Polychaeta, Spionidae) in temperate zones, demography and production. Journal of the Marine Biological Association of the United Kingdom. 73(4), 769-785.",NA,body_size_max,20,mm,unreviewed
137556,2550,Limnodrilus hoffmeisteri,Species,Limnodrilus hoffmeisteri,species,target,1,worms,"Hayward, P.J. & J.S. Ryland (Eds.). (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. 627 pp.",NA,body_size_max,35,mm,unreviewed
137556,2550,Limnodrilus hoffmeisteri,Species,Limnodrilus hoffmeisteri,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,35,mm,unreviewed
137556,2550,Limnodrilus hoffmeisteri,Species,Limnodrilus hoffmeisteri,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,60,mm,unreviewed
137577,2720,Tubificoides heterochaetus,Species,Tubificoides heterochaetus,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,9,mm,unreviewed
137577,2720,Tubificoides heterochaetus,Species,Tubificoides heterochaetus,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,9,mm,unreviewed
157593,2570,Limnodrilus udekemianus,Species,Limnodrilus udekemianus,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,70,mm,unreviewed
157593,2570,Limnodrilus udekemianus,Species,Limnodrilus udekemianus,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,90,mm,unreviewed
