year,drought_period_type,drought_period_number,drought_year,drought_year_trunc
1967,N,N1,0,0
1968,N,N1,0,0
1969,N,N1,0,0
1970,N,N1,0,0
1971,N,N1,0,0
1972,N,N1,0,0
1973,N,N1,0,0
1974,N,N1,0,0
1975,N,N1,0,0
1976,D,D1,1,1
1977,D,D1,2,2
1978,N,N2,0,0
1979,N,N2,0,0
1980,N,N2,0,0
1981,N,N2,0,0
1982,N,N2,0,0
1983,N,N2,0,0
1984,N,N2,0,0
1985,N,N2,0,0
1986,N,N2,0,0
1987,D,D2,1,1
1988,D,D2,2,2
1989,D,D2,3,3
1990,D,D2,4,3
1991,D,D2,5,3
1992,D,D2,6,3
1993,D,D2,7,3
1994,D,D2,8,3
1995,N,N3,0,0
1996,N,N3,0,0
1997,N,N3,0,0
1998,N,N3,0,0
1999,N,N3,0,0
2000,N,N3,0,0
2001,D,D3,1,1
2002,D,D3,2,2
2003,N,N4,0,0
2004,N,N4,0,0
2005,N,N4,0,0
2006,N,N4,0,0
2007,D,D4,1,1
2008,D,D4,2,2
2009,D,D4,3,3
2010,D,D4,4,3
2011,N,N5,0,0
2012,D,D5,1,1
2013,D,D5,2,2
2014,D,D5,3,3
2015,D,D5,4,3
2016,D,D5,5,3
2017,N,N6,0,0
2018,N,N6,0,0
2019,N,N6,0,0
2020,D,D6,1,1
2021,D,D6,2,2
2022,D,D6,3,3
