year,american_shad,arrow_goby,bat_ray,bay_goby,bay_pipefish,big_skate,bigscale_logperch,black_crappie,black_perch,bluegill,broadnose_sevengill_shark,brown_bullhead,brown_smoothhound,california_grunion,california_halibut,california_tonguefish,chameleon_goby,channel_catfish,cheekspot_goby,chinook_salmon,common_carp,delta_smelt,diamond_turbot,dwarf_perch,english_sole,flatfish,goby_unid,golden_shiner,goldfish,green_sturgeon,green_sunfish,grey_smoothhound,hitch,jacksmelt,largemouth_bass,leopard_shark,lingcod,lizardfish,longfin_smelt,mississippi_silverside,mud_shrimp,night_smelt,northern_anchovy,pacific_electric_ray,pacific_halibut,pacific_herring,pacific_lamprey,pacific_pompano,pacific_sanddab,pacific_sardine,pacific_staghorn_sculpin,pacific_tomcod,pile_perch,plainfin_midshipman,prickly_sculpin,rainwater_killifish,redear_sunfish,riffle_sculpin,river_lamprey,rock_sole,rubberlip_seaperch,sacramento_blackfish,sacramento_perch,sacramento_pikeminnow,sacramento_sucker,sand_sole,shimofuri_goby,shiner_perch,shokihaze_goby,silver_surfperch,smelt_family,speckled_sanddab,spiny_dogfish,splittail,spotfin_surfperch,spotted_bass,starry_flounder,steelhead,striped_bass,surf_smelt,threadfin_shad,threespine_stickleback,topsmelt,tule_perch,wakasagi,walleye_surfperch,warmouth,western_mosquitofish,white_catfish,white_crappie,white_croaker,white_sea_bass,white_seaperch,white_sturgeon,whitebait_smelt,wolf_eel,yellowfin_goby
1967,2688,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,22,40,398,0,0,0,0,0,1,0,0,1,0,1,123,0,0,0,0,33152,0,0,0,26652,0,0,157,1,2,0,0,5,6,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,3,0,60,0,0,22,0,17102,0,9215,2,0,1,0,0,0,0,574,0,6,0,6,47,17,0,26
1968,1162,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,58,79,953,0,0,0,0,0,1,0,0,0,0,0,1234,0,0,0,0,18056,0,0,0,35345,0,0,303,9,4,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,37,0,0,0,0,1,41,0,0,21,6,7244,0,5206,16,0,1,0,0,0,0,702,0,9,0,1,35,178,0,3
1969,3396,0,7,0,0,0,0,15,0,3,0,0,3,0,0,0,0,6,0,99,135,469,0,0,3,0,0,1,0,5,0,0,1,835,0,0,0,0,34837,0,0,0,69550,0,0,4173,1,5,0,0,17,210,1,18,0,0,0,0,0,0,0,18,0,4,0,0,0,799,0,0,0,27,3,32,1,0,37,8,13727,3,8010,15,4,0,0,10,0,0,860,1,25,0,14,39,209,0,5
1970,625,0,7,0,1,0,0,7,0,0,0,1,1,0,0,0,0,5,0,69,38,1212,0,1,1,0,0,0,1,2,0,0,0,287,0,0,0,0,9814,0,0,0,39820,1,0,904,2,4,0,0,11,39,0,191,0,0,0,0,2,0,1,2,0,2,0,0,0,359,0,0,0,3,0,26,0,0,35,1,8674,2,2588,8,4,0,0,3,0,0,529,0,34,0,2,18,55,0,6
1971,709,0,7,0,0,1,0,2,0,0,1,2,7,0,0,0,0,0,0,38,48,1069,0,0,21,0,0,0,0,1,0,0,0,146,0,2,1,0,12984,0,0,12,221590,0,0,5479,0,4,0,0,19,213,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,6,11,0,0,95,4,5902,1,2893,8,124,0,0,9,0,0,240,0,24,0,35,16,19,1,8
1972,348,0,9,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,39,31,1249,0,1,3,0,0,0,1,3,0,0,0,151,0,0,0,0,6241,0,0,0,79495,0,0,7864,2,2,3,0,29,20,3,224,0,0,0,0,0,0,0,0,0,1,0,0,0,1993,0,0,0,0,3,12,0,0,56,3,6671,2,3440,3,878,1,0,8,0,0,171,3,8,0,9,15,0,0,4
1973,709,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,44,14,1321,0,0,2,0,0,0,0,1,2,0,0,483,0,0,0,0,5111,0,0,13,83791,1,0,8919,0,6,0,0,33,5,0,178,0,0,0,0,1,0,0,0,0,0,0,0,0,410,0,0,0,0,0,7,0,0,467,2,4289,1,609,6,2,0,0,15,0,0,416,0,303,0,1,4,21,0,23
1974,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1003,0,0,0,2,0,0,3,0,0,0,0,1,5,6,16,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,10,0,489,0,13,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7
1975,1451,0,1,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,12,16,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2162,0,0,17,8861,0,0,106,0,0,0,0,11,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,5,0,0,56,6,4108,1,394,0,26,0,0,0,0,0,141,0,1,0,0,40,5,0,16
1976,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,6,111,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,63,0,0,0,187,0,0,9,2,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,9,0,322,2,308,0,15,0,0,0,0,0,22,0,0,0,0,9,0,0,0
1977,454,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,0,0,0,52540,0,0,350,0,130,0,0,8,0,0,301,0,0,0,0,0,1,0,1,1,0,0,0,0,67,0,0,0,0,0,0,0,0,9,3,1010,9,4381,0,1601,1,0,0,0,0,128,0,1,0,0,7,1,0,14
1978,1569,0,14,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,61,11,452,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,4847,1,0,1,62143,0,0,593,0,37,0,0,13,5,0,284,1,0,0,0,0,2,0,1,0,5,0,0,0,161,0,0,0,0,0,39,0,0,50,0,3508,2,1557,11,184,3,0,1,0,0,221,0,12,0,0,219,2,0,192
1979,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,42,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1380,0,0,0,429,0,0,10,0,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,1,0,543,19,38,1,1,0,0,1,0,0,2,0,17,0,0,3,0,0,5
1980,2304,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,19,11,1307,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,18609,1,0,0,37087,0,0,587,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,14,0,0,72,9,1339,0,2934,6,100,0,0,3,0,0,37,1,147,0,0,17,0,0,98
1981,836,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,68,13,331,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1569,2,0,2,44001,0,0,55,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,20,0,0,15,2,3166,0,2790,2,49,0,0,0,0,0,31,0,2,0,0,14,0,0,4
1982,2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,3,354,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,40510,0,0,1,55244,0,0,2349,1,0,0,0,34,0,0,111,0,0,0,0,0,0,0,0,0,1,0,0,0,315,0,0,0,0,1,61,0,0,22,1,3487,0,1012,1,15,0,0,3,0,0,3,0,15,0,0,45,0,0,48
1983,1885,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,28,4,134,0,0,3,0,0,0,0,2,1,0,0,21,0,0,0,0,6088,2,0,2,63642,0,0,39,1,0,0,0,6,0,0,28,6,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,71,0,0,24,0,6632,2,1504,18,0,0,0,1,0,0,42,1,7,0,0,42,0,0,32
1984,582,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,5,160,0,0,0,0,0,0,0,3,0,0,0,97,0,0,0,0,4525,8,0,0,44679,0,0,24,0,0,0,0,61,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,1,16,0,0,17,6,4086,0,472,0,32,0,0,0,0,0,60,0,4,0,0,56,2,0,189
1985,1210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,70,4,89,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,758,0,0,0,31315,0,0,52,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,0,0,15,0,0,15,0,1894,0,504,0,15,0,0,0,0,0,33,0,0,0,0,20,0,0,7
1986,1156,9,8,3,0,1,0,0,0,0,0,0,15,0,0,0,0,6,0,49,3,192,0,0,3,0,0,0,0,2,0,0,0,14,0,2,0,0,4780,3,0,0,51178,0,0,26,0,0,0,0,55,0,0,414,0,0,0,0,0,0,0,1,0,0,0,0,0,555,0,0,0,0,1,52,0,0,13,0,2998,0,1407,7,27,0,0,2,0,0,80,0,348,0,0,34,0,0,206
1987,637,0,1,8,0,0,0,1,0,0,0,0,13,0,0,0,0,92,0,37,5,236,0,0,0,0,0,0,1,1,0,0,0,12,1,0,0,0,963,11,0,0,10063,0,0,52,0,5,0,0,17,0,0,372,0,0,0,0,0,0,0,1,0,0,0,0,0,52,0,0,0,0,0,28,0,0,8,0,1148,0,1799,2,11,1,0,1,0,1,3,1,5,0,0,14,0,0,55
1988,1109,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,7,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,11499,0,0,24,0,0,0,0,5,1,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,9,0,0,2,2,524,0,1246,1,0,1,0,0,0,0,35,0,7,0,0,13,0,0,6
1989,1294,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,10,4,322,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,340,16,0,0,11416,0,0,757,0,0,0,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,1,0,446,0,3445,1,9,1,0,0,0,0,1,0,6,0,0,9,0,0,33
1990,3039,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,14,8,0,12,0,311,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,178,30,0,0,47869,0,0,3,0,10,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,9,0,0,0,0,1208,0,3380,2,129,1,0,0,0,0,13,0,59,0,0,11,0,0,41
1991,2926,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,9,23,0,50,9,855,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,229,20,0,0,22673,0,0,34,4,0,8,0,19,1,0,74,0,0,0,0,0,0,0,1,0,2,3,0,0,10,0,0,0,0,0,34,0,0,25,44,1150,0,3597,39,84,1,0,0,0,0,121,1,52,0,0,14,0,0,11
1992,3042,0,1,0,0,0,1,5,0,4,0,0,0,0,1,0,6,56,0,126,5,223,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,82,9,0,0,107786,0,0,21,0,0,5,0,4,0,0,6,0,0,0,0,2,0,0,0,0,7,1,0,0,5,0,0,0,0,0,12,0,0,6,5,1608,0,3492,37,76,2,0,0,0,0,477,1,36,0,0,10,0,0,87
1993,5203,0,0,0,1,1,0,13,0,6,0,0,0,0,0,0,7,297,0,350,7,1040,0,0,0,0,0,6,0,1,0,0,4,24,0,1,0,0,719,27,0,0,14437,0,0,145,3,5,9,0,33,1,1,29,1,0,0,0,1,0,0,1,0,13,0,1,0,11,0,0,0,0,0,72,0,0,2,21,3966,1,7620,9,72,4,0,0,0,0,566,0,136,0,1,8,0,0,423
1994,2259,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,1,147,0,98,0,442,1,0,0,0,0,1,0,0,0,0,0,4,1,2,0,0,1106,24,0,0,26305,0,0,211,1,0,0,0,32,0,0,371,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,15,0,0,8,6,1342,0,3841,9,23,3,1,0,0,0,811,22,76,0,0,8,0,0,75
1995,7203,0,2,0,0,0,0,2,0,17,0,0,0,0,0,0,0,27,0,161,3,930,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,4686,21,0,0,11874,0,0,146,0,0,0,0,25,0,0,195,2,0,0,0,27,0,0,0,0,1,1,0,44,5,0,0,0,0,0,87,0,0,13,8,1797,0,4178,6,39,3,3,0,0,0,123,0,31,0,0,9,0,0,144
