year,american_shad,chinook_salmon,delta_smelt,longfin_smelt,northern_anchovy,pacific_herring,splittail,striped_bass,threadfin_shad
1967,3349,43,371,81490,167265,786,64,19786,14366
1968,752,35,668,3367,36797,54,20,3938,5984
1969,3790,62,316,63031,47884,1313,28,8493,9685
1970,821,123,1682,7265,46824,731,18,8520,4055
1971,1444,71,1312,16047,128327,2442,13,9665,6924
1972,312,54,1265,790,7747,41,12,6371,5101
1973,1050,72,1147,5935,64747,3509,4,4850,1230
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,2375,18,697,2823,24115,259,4,4967,708
1976,346,18,359,658,376,15,2,1540,2957
1977,659,4,465,216,60539,206,0,1144,9032
1978,2413,38,569,6535,62344,211,37,3040,2094
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,3916,29,1654,31184,115025,1401,16,1967,7279
1981,1434,95,374,2202,207772,208,18,4983,6674
1982,5389,23,333,62905,160286,6729,118,4925,2101
1983,2893,48,140,11881,201595,90,158,12713,2201
1984,826,10,182,7430,140206,69,16,6854,930
1985,1597,142,110,991,69068,107,15,1988,821
1986,1860,79,212,6160,148012,93,58,4164,2829
1987,899,56,280,1520,26039,127,29,1561,3475
1988,1550,13,177,794,31568,65,9,777,2411
1989,1878,14,366,456,28666,1983,4,608,6897
1990,4316,24,364,243,128523,8,8,1788,5859
1991,2987,18,689,134,56134,25,18,1214,3316
1992,2014,36,156,76,295003,9,3,2271,2958
1993,5157,42,1078,798,38623,13,10,1767,6678
1994,1334,18,102,545,68186,10,3,1346,2305
1995,6817,14,903,6686,28060,340,76,706,3346
1996,4416,10,127,1348,21775,59,22,537,4762
1997,2594,30,303,690,26043,29,1,777,15267
1998,4140,11,420,6654,42769,34,281,1874,5748
1999,715,71,864,5243,17667,15,39,719,7527
2000,764,19,756,3437,19966,28,8,509,12977
2001,765,26,603,247,18550,366,27,855,14401
2002,1920,11,139,707,23961,594,1,201,1731
2003,9360,1,210,467,34041,1146,9,191,1964
2004,947,30,74,191,4851,37,4,119,1301
2005,1744,2,26,129,11941,358,5,172,2865
2006,2313,0,41,1949,19753,243,4,430,2225
2007,553,0,28,13,7766,31,1,109,3177
2008,271,1,23,139,3360,1340,0,246,450
2009,624,1,17,65,17338,79,1,83,43
2010,683,0,29,191,15219,168,0,66,120
2011,894,3,343,477,8565,88,15,290,228
2012,415,14,42,61,16117,278,1,148,41
2013,309,2,18,164,37669,47,1,102,277
2014,278,67,9,16,18074,28,1,140,282
2015,79,3,7,4,20550,8,0,77,806
2016,313,2,8,7,22170,15,0,137,660
2017,3086,6,2,141,32349,21,1,513,291
2018,1064,1,0,52,39536,21,0,102,198
2019,1953,1,0,44,20738,29,0,268,342
2020,1098,0,0,28,25847,28,0,93,635
2021,398,1,0,323,100369,30,0,95,221
