station,station_lat,station_long,start,end
305,37.9987,-122.4086,1967,2022
306,38.00042,-122.41488,1970,2022
307,38.00472,-122.4192,1970,2022
308,38.01745,-122.40438,1970,2022
309,38.01442,-122.39387,1970,2022
310,38.0297,-122.37355,1970,2022
311,38.02087,-122.37743,1969,2022
314,38.02812,-122.41167,1968,2022
315,38.03815,-122.3936,1970,2022
321,38.03612,-122.36103,1967,2022
322,38.02363,-122.35078,1970,2022
323,38.02853,-122.32817,1967,2022
325,38.05605,-122.2955,1969,2022
326,38.04038,-122.29592,1970,2022
327,38.04772,-122.36672,1970,2022
328,38.06005,-122.34842,1967,2022
329,38.06312,-122.30588,1969,2022
334,38.07553,-122.33933,1969,2022
335,38.0705,-122.3243,1970,2022
336,38.06275,-122.27875,1970,2022
337,38.0595,-122.27232,1970,2022
338,38.06003,-122.24892,1967,2022
339,38.0667,-122.2568,1970,2022
340,38.10508,-122.26988,1967,2022
401,38.05758,-122.21245,1970,2022
403,38.04883,-122.17192,1970,2022
404,38.04645,-122.17887,1970,2022
405,38.03353,-122.15815,1967,2022
406,38.028,-122.15057,1970,2022
407,38.03298,-122.14515,1970,2022
408,38.03513,-122.12897,1970,2022
409,38.04455,-122.10637,1967,2022
410,38.04883,-122.09647,1967,2022
411,38.06117,-122.06828,1967,2022
412,38.06462,-122.06007,1967,2022
413,38.06595,-122.0473,1967,2022
414,38.05213,-122.11128,1967,2022
415,38.05678,-122.10772,1967,2022
416,38.0702,-122.09415,1967,2022
417,38.08075,-122.083,1967,2022
418,38.09383,-122.06973,1967,2022
501,38.06167,-122.01955,1967,2022
502,38.05997,-122.00397,1967,2022
503,38.06022,-121.9832,1967,2022
504,38.05945,-121.9767,1967,2022
505,38.05713,-121.95597,1967,2022
507,38.05228,-121.939,1967,2022
508,38.04813,-121.91492,1967,2022
509,38.04547,-121.90412,1967,2022
510,38.04888,-121.88783,1967,2022
511,38.0513,-121.88,1967,2022
512,38.05638,-121.87722,1967,2022
513,38.0592,-121.86842,1967,2022
515,38.092,-122.01472,1967,2022
516,38.07867,-121.99408,1967,2022
517,38.07022,-121.97938,1967,2022
518,38.06875,-121.96802,1967,2022
519,38.07378,-121.94725,1967,2022
601,38.1031,-122.0356,1967,2022
602,38.11783,-122.04183,1967,2022
603,38.11552,-122.04805,1967,2022
604,38.12163,-122.05717,1967,2022
605,38.14853,-122.05738,1967,2022
606,38.1698,-122.02177,1967,2022
608,38.0887,-121.88332,1967,2022
701,38.06505,-121.83475,1967,2022
703,38.06087,-121.79692,1967,2022
704,38.07087,-121.77892,1967,2022
705,38.07925,-121.7618,1967,2022
706,38.0903,-121.74,1967,2022
707,38.11397,-121.70797,1967,2022
708,38.12608,-121.6967,1967,2022
709,38.14787,-121.69048,1967,2022
710,38.162,-121.68228,1967,2022
711,38.17595,-121.67028,1968,2022
802,38.03528,-121.83875,1967,2022
804,38.02308,-121.79868,1967,2022
806,38.02872,-121.7617,1967,2022
807,38.02995,-121.73203,1967,2022
808,38.03337,-121.71942,1967,2022
809,38.0512,-121.69305,1967,2022
810,38.07083,-121.67622,1967,2022
811,38.09742,-121.66487,1967,2022
812,38.08792,-121.64883,1967,2022
813,38.09978,-121.62767,1967,2022
814,38.10128,-121.6022,1967,2022
815,38.0913,-121.57587,1967,2022
902,38.0205,-121.58255,1967,2022
903,38.10628,-121.56747,1967,2022
904,38.07828,-121.56847,1967,2022
905,38.05953,-121.55573,1967,2022
906,38.05412,-121.51653,1967,2022
908,38.04308,-121.5298,1967,2022
909,38.02442,-121.46705,1967,2022
910,38.00228,-121.45037,1967,2022
911,37.99247,-121.40875,1967,2022
912,37.96883,-121.37172,1967,2022
913,37.97012,-121.53705,1967,2022
914,37.94662,-121.53475,1967,2022
915,37.949,-121.55908,1968,2022
