year,area,species,index_area
1967,12,American Shad,442
1967,12,Chinook Salmon,0
1967,12,Delta Smelt,2
1967,12,Longfin Smelt,15218
1967,12,Northern Anchovy,318
1967,12,Pacific Herring,0
1967,12,Splittail,15
1967,12,Striped Bass age-0,4226
1967,12,Striped Bass age-1,47
1967,12,Striped Bass age-2,20
1967,12,Threadfin Shad,144
1967,13,American Shad,741
1967,13,Chinook Salmon,2
1967,13,Delta Smelt,132
1967,13,Longfin Smelt,12266
1967,13,Northern Anchovy,0
1967,13,Pacific Herring,2
1967,13,Splittail,11
1967,13,Striped Bass age-0,8216
1967,13,Striped Bass age-1,68
1967,13,Striped Bass age-2,9
1967,13,Threadfin Shad,120
1967,14,American Shad,93
1967,14,Chinook Salmon,2
1967,14,Delta Smelt,69
1967,14,Longfin Smelt,2691
1967,14,Northern Anchovy,0
1967,14,Pacific Herring,0
1967,14,Splittail,23
1967,14,Striped Bass age-0,4098
1967,14,Striped Bass age-1,45
1967,14,Striped Bass age-2,8
1967,14,Threadfin Shad,258
1967,15,American Shad,413
1967,15,Chinook Salmon,12
1967,15,Delta Smelt,117
1967,15,Longfin Smelt,161
1967,15,Northern Anchovy,0
1967,15,Pacific Herring,0
1967,15,Splittail,0
1967,15,Striped Bass age-0,836
1967,15,Striped Bass age-1,3
1967,15,Striped Bass age-2,0
1967,15,Threadfin Shad,532
1967,16,American Shad,572
1967,16,Chinook Salmon,1
1967,16,Delta Smelt,12
1967,16,Longfin Smelt,188
1967,16,Northern Anchovy,0
1967,16,Pacific Herring,0
1967,16,Splittail,0
1967,16,Striped Bass age-0,676
1967,16,Striped Bass age-1,6
1967,16,Striped Bass age-2,0
1967,16,Threadfin Shad,817
1967,17,American Shad,522
1967,17,Chinook Salmon,2
1967,17,Delta Smelt,8
1967,17,Longfin Smelt,30
1967,17,Northern Anchovy,0
1967,17,Pacific Herring,0
1967,17,Splittail,0
1967,17,Striped Bass age-0,165
1967,17,Striped Bass age-1,57
1967,17,Striped Bass age-2,2
1967,17,Threadfin Shad,11958
1968,12,American Shad,58
1968,12,Chinook Salmon,7
1968,12,Delta Smelt,5
1968,12,Longfin Smelt,360
1968,12,Northern Anchovy,821
1968,12,Pacific Herring,5
1968,12,Splittail,0
1968,12,Striped Bass age-0,150
1968,12,Striped Bass age-1,58
1968,12,Striped Bass age-2,23
1968,12,Threadfin Shad,19
1968,13,American Shad,215
1968,13,Chinook Salmon,5
1968,13,Delta Smelt,162
1968,13,Longfin Smelt,2173
1968,13,Northern Anchovy,510
1968,13,Pacific Herring,0
1968,13,Splittail,3
1968,13,Striped Bass age-0,1288
1968,13,Striped Bass age-1,75
1968,13,Striped Bass age-2,26
1968,13,Threadfin Shad,53
1968,14,American Shad,66
1968,14,Chinook Salmon,0
1968,14,Delta Smelt,11
1968,14,Longfin Smelt,550
1968,14,Northern Anchovy,163
1968,14,Pacific Herring,0
1968,14,Splittail,16
1968,14,Striped Bass age-0,363
1968,14,Striped Bass age-1,17
1968,14,Striped Bass age-2,4
1968,14,Threadfin Shad,223
1968,15,American Shad,113
1968,15,Chinook Salmon,1
1968,15,Delta Smelt,373
1968,15,Longfin Smelt,55
1968,15,Northern Anchovy,0
1968,15,Pacific Herring,0
1968,15,Splittail,0
1968,15,Striped Bass age-0,976
1968,15,Striped Bass age-1,73
1968,15,Striped Bass age-2,1
1968,15,Threadfin Shad,388
1968,16,American Shad,112
1968,16,Chinook Salmon,5
1968,16,Delta Smelt,72
1968,16,Longfin Smelt,42
1968,16,Northern Anchovy,0
1968,16,Pacific Herring,0
1968,16,Splittail,1
1968,16,Striped Bass age-0,634
1968,16,Striped Bass age-1,47
1968,16,Striped Bass age-2,0
1968,16,Threadfin Shad,323
1968,17,American Shad,140
1968,17,Chinook Salmon,17
1968,17,Delta Smelt,43
1968,17,Longfin Smelt,30
1968,17,Northern Anchovy,0
1968,17,Pacific Herring,0
1968,17,Splittail,0
1968,17,Striped Bass age-0,52
1968,17,Striped Bass age-1,90
1968,17,Striped Bass age-2,7
1968,17,Threadfin Shad,4892
1969,12,American Shad,312
1969,12,Chinook Salmon,4
1969,12,Delta Smelt,38
1969,12,Longfin Smelt,14301
1969,12,Northern Anchovy,108
1969,12,Pacific Herring,0
1969,12,Splittail,14
1969,12,Striped Bass age-0,1239
1969,12,Striped Bass age-1,124
1969,12,Striped Bass age-2,5
1969,12,Threadfin Shad,47
1969,13,American Shad,386
1969,13,Chinook Salmon,2
1969,13,Delta Smelt,104
1969,13,Longfin Smelt,4765
1969,13,Northern Anchovy,0
1969,13,Pacific Herring,0
1969,13,Splittail,4
1969,13,Striped Bass age-0,2232
1969,13,Striped Bass age-1,25
1969,13,Striped Bass age-2,5
1969,13,Threadfin Shad,89
1969,14,American Shad,44
1969,14,Chinook Salmon,0
1969,14,Delta Smelt,41
1969,14,Longfin Smelt,1560
1969,14,Northern Anchovy,0
1969,14,Pacific Herring,0
1969,14,Splittail,2
1969,14,Striped Bass age-0,1592
1969,14,Striped Bass age-1,23
1969,14,Striped Bass age-2,1
1969,14,Threadfin Shad,79
1969,15,American Shad,80
1969,15,Chinook Salmon,36
1969,15,Delta Smelt,52
1969,15,Longfin Smelt,68
1969,15,Northern Anchovy,0
1969,15,Pacific Herring,0
1969,15,Splittail,0
1969,15,Striped Bass age-0,314
1969,15,Striped Bass age-1,7
1969,15,Striped Bass age-2,0
1969,15,Threadfin Shad,134
1969,16,American Shad,636
1969,16,Chinook Salmon,2
1969,16,Delta Smelt,12
1969,16,Longfin Smelt,85
1969,16,Northern Anchovy,0
1969,16,Pacific Herring,0
1969,16,Splittail,0
1969,16,Striped Bass age-0,363
1969,16,Striped Bass age-1,3
1969,16,Striped Bass age-2,0
1969,16,Threadfin Shad,126
1969,17,American Shad,365
1969,17,Chinook Salmon,11
1969,17,Delta Smelt,13
1969,17,Longfin Smelt,7
1969,17,Northern Anchovy,0
1969,17,Pacific Herring,0
1969,17,Splittail,0
1969,17,Striped Bass age-0,451
1969,17,Striped Bass age-1,37
1969,17,Striped Bass age-2,7
1969,17,Threadfin Shad,8229
1970,12,American Shad,120
1970,12,Chinook Salmon,8
1970,12,Delta Smelt,227
1970,12,Longfin Smelt,1263
1970,12,Northern Anchovy,316
1970,12,Pacific Herring,0
1970,12,Splittail,0
1970,12,Striped Bass age-0,1386
1970,12,Striped Bass age-1,39
1970,12,Striped Bass age-2,3
1970,12,Threadfin Shad,67
1970,13,American Shad,111
1970,13,Chinook Salmon,23
1970,13,Delta Smelt,759
1970,13,Longfin Smelt,538
1970,13,Northern Anchovy,0
1970,13,Pacific Herring,0
1970,13,Splittail,2
1970,13,Striped Bass age-0,748
1970,13,Striped Bass age-1,43
1970,13,Striped Bass age-2,5
1970,13,Threadfin Shad,162
1970,14,American Shad,11
1970,14,Chinook Salmon,1
1970,14,Delta Smelt,272
1970,14,Longfin Smelt,134
1970,14,Northern Anchovy,0
1970,14,Pacific Herring,0
1970,14,Splittail,0
1970,14,Striped Bass age-0,1762
1970,14,Striped Bass age-1,42
1970,14,Striped Bass age-2,5
1970,14,Threadfin Shad,178
1970,15,American Shad,62
1970,15,Chinook Salmon,31
1970,15,Delta Smelt,131
1970,15,Longfin Smelt,6
1970,15,Northern Anchovy,0
1970,15,Pacific Herring,0
1970,15,Splittail,0
1970,15,Striped Bass age-0,539
1970,15,Striped Bass age-1,2
1970,15,Striped Bass age-2,0
1970,15,Threadfin Shad,75
1970,16,American Shad,218
1970,16,Chinook Salmon,26
1970,16,Delta Smelt,106
1970,16,Longfin Smelt,16
1970,16,Northern Anchovy,0
1970,16,Pacific Herring,0
1970,16,Splittail,2
