year,area,american_shad,chinook_salmon,delta_smelt,longfin_smelt,northern_anchovy,pacific_herring,splittail,striped_bass_age_0,striped_bass_age_1,striped_bass_age_2,threadfin_shad
1967,12,442,0,2,15218,318,0,15,4226,47,20,144
1967,13,741,2,132,12266,0,2,11,8216,68,9,120
1967,14,93,2,69,2691,0,0,23,4098,45,8,258
1967,15,413,12,117,161,0,0,0,836,3,0,532
1967,16,572,1,12,188,0,0,0,676,6,0,817
1967,17,522,2,8,30,0,0,0,165,57,2,11958
1968,12,58,7,5,360,821,5,0,150,58,23,19
1968,13,215,5,162,2173,510,0,3,1288,75,26,53
1968,14,66,0,11,550,163,0,16,363,17,4,223
1968,15,113,1,373,55,0,0,0,976,73,1,388
1968,16,112,5,72,42,0,0,1,634,47,0,323
1968,17,140,17,43,30,0,0,0,52,90,7,4892
1969,12,312,4,38,14301,108,0,14,1239,124,5,47
1969,13,386,2,104,4765,0,0,4,2232,25,5,89
1969,14,44,0,41,1560,0,0,2,1592,23,1,79
1969,15,80,36,52,68,0,0,0,314,7,0,134
1969,16,636,2,12,85,0,0,0,363,3,0,126
1969,17,365,11,13,7,0,0,0,451,37,7,8229
1970,12,120,8,227,1263,316,0,0,1386,39,3,67
1970,13,111,23,759,538,0,0,2,748,43,5,162
1970,14,11,1,272,134,0,0,0,1762,42,5,178
1970,15,62,31,131,6,0,0,0,539,2,0,75
1970,16,218,26,106,16,0,0,2,764,38,0,346
1970,17,125,20,32,0,0,0,0,90,38,2,3128
1971,12,126,3,62,4729,636,0,3,2537,34,17,3
1971,13,157,20,535,5684,0,2,0,2761,38,5,65
1971,14,9,1,101,920,0,0,4,1594,21,4,42
1971,15,113,8,355,77,0,0,0,230,13,0,112
1971,16,188,10,176,18,0,0,0,530,0,0,358
1971,17,242,16,36,12,0,0,4,101,9,2,6036
1972,12,45,3,36,288,753,0,0,1711,36,8,8
1972,13,44,11,827,243,81,0,0,2471,38,4,212
1972,14,18,0,122,50,116,0,12,720,24,5,141
1972,15,48,4,128,16,0,2,0,268,10,2,126
1972,16,22,8,114,6,0,8,0,626,6,2,268
1972,17,59,9,36,0,0,0,0,46,17,0,4336
1973,12,182,11,116,1851,639,20,0,667,56,9,19
1973,13,230,13,428,2285,45,0,1,701,58,20,27
1973,14,53,1,319,355,11,1,1,742,46,6,62
1973,15,54,18,66,17,0,0,2,354,16,4,19
1973,16,172,2,91,7,0,0,0,167,12,0,69
1973,17,52,0,0,0,0,0,0,30,10,0,1008
1975,12,325,0,224,1214,92,3,0,1967,130,11,15
1975,13,322,7,264,881,1,0,0,742,57,6,8
1975,14,87,0,114,226,0,0,4,954,54,5,18
1975,15,153,5,29,52,0,0,0,140,6,0,26
1975,16,403,3,59,10,0,0,0,259,12,0,314
1975,17,149,0,2,0,0,0,0,27,4,0,267
1976,12,29,3,1,3,71,6,0,27,13,0,0
1976,13,45,3,18,25,24,4,0,78,23,1,3
1976,14,7,0,8,4,12,0,1,41,5,1,1
1976,15,24,2,72,58,0,0,0,108,46,8,40
1976,16,18,4,59,1,0,0,0,36,9,1,89
1976,17,40,7,0,0,0,0,0,27,2,0,607
1977,12,54,0,0,5,1333,3,0,13,4,0,17
1977,13,152,1,54,13,1862,2,0,52,50,8,142
1977,14,15,1,2,4,55,0,0,51,5,1,36
1977,15,47,0,329,160,77,0,0,598,127,4,211
1977,16,65,0,73,14,23,0,0,81,9,0,526
1977,17,118,0,9,7,0,0,0,65,36,0,7888
1978,12,130,0,46,1193,937,0,4,294,75,10,0
1978,13,239,12,171,2758,100,1,8,710,62,6,4
1978,14,85,0,47,355,108,0,14,481,21,4,9
1978,15,153,20,18,233,0,0,2,524,11,2,85
1978,16,173,4,6,59,0,0,1,219,5,0,29
1978,17,959,0,0,7,0,0,0,69,15,2,1922
1980,12,303,3,12,4887,3739,311,3,102,75,14,5
1980,13,352,7,649,7455,138,20,6,244,136,19,13
1980,14,114,0,125,2419,83,1,4,114,26,4,21
1980,15,1233,7,574,1483,0,0,0,453,44,3,12
1980,16,348,5,234,553,0,0,2,392,14,2,125
1980,17,1022,5,60,0,0,0,0,122,2,0,6948
1981,12,106,6,63,750,2815,1,1,944,88,10,4
1981,13,243,26,161,523,1177,1,4,702,93,8,4
1981,14,95,1,78,102,348,0,13,225,23,8,9
1981,15,123,28,39,354,3,0,0,599,39,5,56
1981,16,114,25,31,16,0,0,0,250,9,2,90
1981,17,312,5,0,5,0,0,0,184,23,0,6412
1982,12,195,4,38,21802,46,24,15,743,77,25,0
1982,13,620,1,88,11309,0,0,6,1063,42,8,16
1982,14,120,1,141,3076,0,0,11,606,40,7,11
1982,15,168,8,24,154,0,0,0,239,2,0,42
1982,16,748,1,28,26,0,0,1,251,3,1,144
1982,17,1212,0,0,7,0,0,0,38,2,0,1875
1983,12,76,3,6,3654,4,8,13,2360,6,13,25
1983,13,484,3,45,619,0,0,7,729,4,2,472
1983,14,369,1,57,274,0,0,16,1007,12,4,302
1983,15,140,14,1,20,0,0,0,132,0,0,40
1983,16,250,0,0,0,0,0,1,73,2,0,262
1983,17,243,2,0,0,0,0,0,27,0,0,730
1984,12,71,0,11,2044,924,0,1,1117,71,7,1
1984,13,237,3,108,1682,45,0,12,1093,40,1,50
1984,14,57,0,13,254,133,0,3,317,9,1,25
1984,15,31,1,33,329,0,0,0,411,3,0,77
1984,16,54,3,16,116,0,0,0,172,4,0,96
1984,17,60,0,0,0,0,0,0,58,2,0,362
1985,12,209,3,0,108,1324,10,0,224,38,14,6
1985,13,387,7,22,313,2103,5,4,556,43,12,28
1985,14,161,1,0,35,487,1,5,496,19,7,14
1985,15,166,8,76,366,82,0,2,279,49,6,174
1985,16,202,4,11,24,0,0,3,162,17,2,108
1985,17,49,2,0,0,0,0,0,8,0,0,470
1986,12,124,3,8,1724,757,1,12,750,35,20,4
1986,13,191,11,87,1621,142,0,18,231,20,4,19
