species,trawls_N,trawls_present,sp_N,pct_grand_N,pct_freq
American Shad,24196,10459,74205,0.03217254072240263,0.4322615308315424
Striped Bass age-0,24196,8196,109812,0.04761041765121593,0.33873367498760126
Longfin Smelt,24196,6928,215358,0.09337125564173825,0.2863283187303687
Northern Anchovy,24196,6359,1074808,0.4659969563879001,0.2628120350471152
Threadfin Shad,24196,5611,134195,0.05818198372404584,0.23189783435278558
Delta Smelt,24196,3628,19704,0.00854292490255672,0.1499421391965614
Striped Bass age-1,24196,3597,7660,0.0033210924052773285,0.1486609356918499
Pacific Herring,24196,1463,11427,0.004954324140353007,0.06046453959332121
Striped Bass age-2,24196,1268,1677,7.270851127480522e-4,0.0524053562572326
Chinook Salmon,24196,1087,1610,6.980363932763054e-4,0.04492478095552984
