year,american_shad,chinook_salmon,delta_smelt,longfin_smelt,northern_anchovy,pacific_herring,splittail,striped_bass,threadfin_shad
1967,2783,19,340,30554,318,2,49,18482,13829
1968,704,35,666,3210,1494,5,20,3884,5898
1969,1823,55,260,20786,108,0,20,6428,8704
1970,647,109,1527,1957,316,0,4,5506,3956
1971,835,58,1265,11440,636,2,11,7896,6616
1972,236,35,1263,603,950,10,12,5994,5091
1973,743,45,1020,4515,695,21,4,2898,1204
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,1439,15,692,2383,93,3,4,4374,648
1976,163,19,158,91,107,10,1,426,740
1977,451,2,467,203,3350,5,0,1104,8820
1978,1739,36,288,4605,1145,1,29,2510,2049
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,3372,27,1654,16797,3960,332,15,1766,7124
1981,993,91,372,1750,4343,2,18,3212,6575
1982,3063,15,319,36374,46,24,33,3147,2088
1983,1562,23,109,4567,4,8,37,4371,1831
1984,510,7,181,4425,1102,0,16,3306,611
1985,1174,25,109,846,3996,16,14,1932,800
1986,1272,39,213,4680,933,1,53,3466,2672
1987,658,30,280,819,384,5,28,1128,3399
1988,1291,2,178,498,22,5,8,515,2368
1989,1344,6,366,364,58,1,4,486,6746
1990,3179,3,363,168,67,0,8,1167,5727
1991,1962,18,689,95,384,1,14,775,2950
1992,1638,4,155,49,582,0,4,1227,2741
1993,4496,14,1073,626,418,3,11,1345,6607
1994,888,4,101,190,260,0,3,944,1815
1995,5690,6,878,2556,6,11,55,471,3303
1996,2795,5,119,292,176,6,18,314,4651
1997,1921,10,294,286,146,4,1,592,14886
1998,3426,9,387,4978,24,0,172,1549,5599
1999,651,45,854,2395,60,5,39,615,7446
2000,553,7,755,2383,56,1,8,399,12827
2001,656,19,603,171,118,53,20,647,14310
2002,1413,6,140,474,63,62,1,133,1696
2003,6438,1,210,336,82,26,10,113,1615
2004,883,20,74,118,142,9,4,87,1233
2005,900,2,26,53,9,17,0,92,2729
2006,1765,0,41,264,8,11,4,238,2148
2007,540,0,26,9,87,11,1,88,3165
2008,190,1,22,87,86,88,0,173,442
2009,411,1,19,52,75,6,1,70,40
2010,307,0,29,57,601,75,0,36,97
2011,613,1,330,302,12,1,6,223,193
2012,284,14,42,29,67,16,1,106,33
2013,224,2,18,59,44,5,1,68,225
2014,234,68,9,7,80,3,1,82,273
2015,56,1,7,2,682,4,0,51,779
2016,267,2,8,2,381,0,0,102,515
2017,2215,1,2,42,129,0,1,387,261
2018,636,1,0,21,503,3,0,48,172
2019,1403,1,0,23,136,6,0,202,314
2020,872,0,0,8,112,2,0,77,628
2021,202,1,0,41,805,1,0,69,220
2022,304,1,0,77,386,2,0,78,238
