taxon_name,trait_category,trait,trait_value,trait_unit,trait_description,citation
Achnanthes,morphological,cell volume,262,um3,average daily cell volume for the genus ,computed from dataset
Achnanthes,morphological,GALD,16.07,um,average greatest axis linear dimention (GALD) of cells for the genus ,computed from dataset
Achnanthes,morphological,armour ,1,categorical,hard (1) or soft (0) body,Spaulding and Edlund 2008
Achnanthes,morphological,attachment,u,categorical,"unattached (u), vertical (v), prostrate (p), tube forming (t)",Spaulding and Edlund 2008
Achnanthes,morphological,pigment,acf,categorical,"chlorophyll a (a), chlorophyll b (b), chlorophyll c (c), fucoxanthin (f),  phycocyanin and phycoerythrin (y)",Wetzel 1975
Achnanthes,morphological,diatom size index,C2,rank,size categories based on benthic diatoms; nondiatoms are listed as NA,Berthon et al. 2011
Achnanthes,morphological,life form,sc,categorical,"chain or filament forming (f), solitary (s), aggregated or colonial (c) ",Spaulding and Edlund 2008
Achnanthes,morphological,diatom life form,mnp,categorical,"diatom life form index as mobile(m), colonial (c), non-colonial (n), pedunculate (p), adnate (a) ; nondiatoms are listed as NA",Berthon et al. 2011; Rimet and Bouchez 2012; Riato et al. 2022
Achnanthes,ecological ,mobility  ,m,categorical,"the ability of the cell to self propel in some way: mobile (m), nonmobile (n)",Spaulding and Edlund 2008
Achnanthes,ecological ,water type ,fe,categorical,"freshwater (f), marine water (m), estuarine water (e)",Spaulding and Edlund 2008
Achnanthes,ecological ,habitat ,pb,categorical,"planktonic (p), benthic (b)",Spaulding and Edlund 2008
Achnanthes,ecological ,diatom guild,l,categorical,"diatom guild index as high profile (h), low profile (l), motile (m), planktic (p); nondiatoms are listed as NA",Passy 2007;  Berthon et al. 2011; Rimet and Bouchez 2012; Riato et al. 2022
Achnanthes,physiological,optimum ammonium concentration,0.14,mg/L,average dissolved ammoniuim concentration measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum nitrate concentration,0.31,mg/L,average nitrate plus nitrite concentration measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum dissolved organic nitrogen concentration,0.2,mg/L,average dissolved organic nitrogen measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum dissolved orthophosphate concentration,0.07,mg/L,average dissolved orthophosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum total phosphate concentration,0.11,mg/L,average total phosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum silica concentration,15.7,mg/L,average silica concentration measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum Secchi disk depth ,77.01,cm,average Secchi disk depth measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum specific conductance ,437,uS/cm,average specific conductance measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum water temperature ,16.57,oC,average water temperature measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum turbidity ,19.48,NTU,average turbidity measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum outflow,629.664,m3/s,average Delta outflow measured for daily abundance values above the third quartile ,computed from dataset
Achnanthes,physiological,optimum San Joaquin River ,126.476,m3/s,average San Joaquin River streamflow measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,morphological,cell volume,1250.28,um3,average daily cell volume for the genus ,computed from dataset
Aulacoseira,morphological,GALD,16.57,um,average greatest axis linear dimention (GALD) of cells for the genus ,computed from dataset
Aulacoseira,morphological,armour ,1,categorical,hard (1) or soft (0) body,Spaulding et al. 2021
Aulacoseira,morphological,attachment,u,categorical,"unattached (u), vertical (v), prostrate (p), tube forming (t)",Patapova and English 2010
Aulacoseira,morphological,pigment,acf,categorical,"chlorophyll a (a), chlorophyll b (b), chlorophyll c (c), fucoxanthin (f),  phycocyanin and phycoerythrin (y)",Wetzel 1975
Aulacoseira,morphological,diatom size index,C4,rank,size categories based on benthic diatoms; nondiatoms are listed as NA,Berthon et al. 2011
Aulacoseira,morphological,life form,cf,categorical,"chain or filament forming (f), solitary (s), aggregated or colonial (c) ",Spaulding et al. 2021
Aulacoseira,morphological,diatom life form,c,categorical,"diatom life form index as mobile(m), colonial (c), non-colonial (n), pedunculate (p), adnate (a) ; nondiatoms are listed as NA",Berthon et al. 2011; Rimet and Bouchez 2012; Riato et al. 2022
Aulacoseira,ecological ,mobility  ,n,categorical,"the ability of the cell to self propel in some way: mobile (m), nonmobile (n)",Spaulding et al. 2021
Aulacoseira,ecological ,water type ,f,categorical,"freshwater (f), marine water (m), estuarine water (e)",Spaulding et al. 2021
Aulacoseira,ecological ,habitat ,pb,categorical,"planktonic (p), benthic (b)",Spaulding et al. 2021; P. W. Lehman (personnal communication)
Aulacoseira,ecological ,diatom guild,p,categorical,"diatom guild index as high profile (h), low profile (l), motile (m), planktic (p); nondiatoms are listed as NA",Passy 2007; Riato et al. 2022; Rimet and Bouchez 2012
Aulacoseira,physiological,optimum ammonium concentration,0.13,mg/L,average dissolved ammoniuim concentration measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum nitrate concentration,0.4,mg/L,average nitrate plus nitrite concentration measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum dissolved organic nitrogen concentration,0.22,mg/L,average dissolved organic nitrogen measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum dissolved orthophosphate concentration,0.07,mg/L,average dissolved orthophosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum total phosphate concentration,0.11,mg/L,average total phosphate concentration measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum silica concentration,14.19,mg/L,average silica concentration measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum Secchi disk depth ,87.56,cm,average Secchi disk depth measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum specific conductance ,1460,uS/cm,average specific conductance measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum water temperature ,17.63,oC,average water temperature measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum turbidity ,22.79,NTU,average turbidity measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum outflow,438.424,m3/s,average Delta outflow measured for daily abundance values above the third quartile ,computed from dataset
Aulacoseira,physiological,optimum San Joaquin River ,88.928,m3/s,average San Joaquin River streamflow measured for daily abundance values above the third quartile ,computed from dataset
Chlamydomonas,morphological,cell volume,297.02,um3,average daily cell volume for the genus ,computed from dataset
Chlamydomonas,morphological,GALD,7.53,um,average greatest axis linear dimention (GALD) of cells for the genus ,computed from dataset
Chlamydomonas,morphological,armour ,0,categorical,hard (1) or soft (0) body,Wehr et al. 2015
Chlamydomonas,morphological,attachment,u,categorical,"unattached (u), vertical (v), prostrate (p), tube forming (t)",Wehr et al. 2015
Chlamydomonas,morphological,pigment,ab,categorical,"chlorophyll a (a), chlorophyll b (b), chlorophyll c (c), fucoxanthin (f),  phycocyanin and phycoerythrin (y)",Wetzel 1975
Chlamydomonas,morphological,diatom size index,NA,rank,size categories based on benthic diatoms; nondiatoms are listed as NA,
Chlamydomonas,morphological,life form,s,categorical,"chain or filament forming (f), solitary (s), aggregated or colonial (c) ",Wehr et al. 2015
Chlamydomonas,morphological,diatom life form,NA,categorical,"diatom life form index as mobile(m), colonial (c), non-colonial (n), pedunculate (p), adnate (a) ; nondiatoms are listed as NA",
