Term,Definition,Data Type,Examples or controlled vocabulary (CV),Comment
"locality","Abbreviation for the geographic area in question: Alaska, Hawaii, or remaining conterminous 48 states.","text","Controlled vocabulary (description): AK (Alaska); HI (Hawaii); L48 (Conterminous/Contiguous 48 United States)","Required on MasterList. From Darwin Core. Formerly called Region."
"scientificName","The accepted binomial, trinomial, or quadrinomial Latin name as it appears in ITIS or GBIF or other name authority. All names are species rank or below.","text","Aira caryophyllea var. caryophyllea; Banana bunchy top virus; Festuca rubra ssp. fallax; Mentha X piperita","Required on MasterList. From Darwin Core, but no name authorship is included. Note that hybrid names use the capital letter X (not the times symbol) and subspecies is abbreviated ssp. (not subsp.)."
"scientificNameAuthorship","The authorship information for the scientificName formatted according to the conventions of the applicable nomenclaturalCode. Note this value is especially important where a name is ambiguous.","text","(Beer, 1954); Fain 1973","Optional on MasterList. Compatible with Darwin Core. New field, not in this dataset's predecessor."
"vernacularName","Common name, generally in English, for the taxon. Not uniquely assigned and may be misleading, i.e. ""Argid sawfly"" is a wasp, not a fly. The first letter of the first word and any proper names are capitalized.","text","Abutilon; bristlegrass; European pine shooter; Costa Rica night blooming cactus","Required on MasterList. From Darwin Core. In this dataset's predecessor, this field was called ""Common Name"". Derived in one of many ways: provided by the Authority; suggested by expert reviewer; chosen from an internet search; or, a generic description of the taxonomic group (generally genus or family level)."
"taxonRank","The relative level of the taxon within its taxonomic hierarchy.","text","Controlled vocabulary: Species, Subspecies, Variety, Form, Unranked","Required on MasterList. From Darwin Core. New field, not in this dataset's predecessor. Previously used term ""Hybrid"" (for hybrids not taxonomically recognized) has been replaced by ""Unranked""; note that most hybrids are taxonRank = Species."
"establishmentMeans","New term. Describes whether species was introduced by human activity, or if known, purposely introduced. In this dataset, other possible terms described in Darwin Core do not apply.","text","Controlled vocabulary - definition: introduced (alien, exotic, non-native, nonindigenous) - Establishment of a taxon by human agency into an area that is not part of its natural range; introduced: assisted colonization - Establishment of a taxon specifically with the intention of creating a self-sustaining wild population in an area that is not part of the taxon's natural range.","Required on MasterList. Currently 2 terms in use. Previously, more than 11 terms have been used in this field. Value is generally derived from the authority, but may also be designated during expert review, or be based on internet search."
"degreeOfEstablishment","Formerly called ""Introduced or Invasive"". Describes the kind of presence in the locality for the species and the degree to which an Organism survives, reproduces, and expands its range at the given place and time. In this dataset, other possible terms described in Darwin Core do not apply.","text","Controlled vocabulary - definition: established (category C3) - Individuals surviving outside of captivity or cultivation in a location. Reproduction occurring, and population self-sustaining; invasive (category D2) - Self-sustaining population outside of captivity or cultivation, that causes or is likely to cause harm; widespread invasive (category E) - invasive with individuals dispersing, surviving and reproducing at multiple sites across a spectrum of habitats and geographic range.","Required on MasterList. Use of the term widespread invasive (category E) in the dataset is still under development and may be incompletely portrayed. Note that in this dataset the term ""invasive"" connotates harmful or likely to cause harm."
"isHybrid","New term. Flag indicating a hybrid organism. This does not have to be reflected in the name, but can be based on other studies like chromosome numbers.","text","Controlled vocabulary - definition: TRUE - affirmative; FALSE - negative","Required on MasterList. From https://terms.tdwg.org/wiki/gna:isHybrid; NOTE: due to the manual nature of deriving this field's value, it is prone to human error; e.g., some hybrid names may mistakenly carry the value FALSE."
"pathway","New term. Provides information about the process by which an Organism came to be in a given place at a given time. As per the Convention on Biological Diversity (https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf)","text","Controlled vocabulary: agriculture (including biofuel feedstocks) | angling/fishing equipment | aquaculture/mariculture | biological control | botanic garden/zoo/aquaria (excluding domestic aquaria) | conservation or wildlife management | container/bulk | contaminant nursery material | contaminant on animals (except parasites, organisms transported by host/vector) | contaminant on plants (except parasites, species transported by host/vector) | contaminated bait | corridor | corridor and dispersal | erosion control | escape from confinement | farmed animals (including animals left under limited control) | fishery in the wild | food contaminant (including of live food) | forestry (including reforestation) | fur farms | hitchhikers in or on airplane | hitchhikers on ship/boat (excluding ballast water and hull fouling) | horticulture | hunting | intentional | interconnected waterways/basins/seas | landscape improvement | live food and live bait | machinery/equipment | natural dispersal across borders of invasive alien organisms | organic packing material, in particular wood packaging | ornamental purpose other than horticulture | other escape from confinement | other intentional release | other means of transport | parasites on animals (including organisms transported by host and vector) | parasites on plants (including species transported by host and vector) | pathway concept scheme | people and their luggage/equipment (in particular tourism) | pet/aquarium/terrarium species (including live food for such species) | release in nature | released for use | research and ex-situ breeding (in facilities) | seed contaminant | ship/boat ballast water | ship/boat hull fouling | timber trade | transport-contaminant | transport-stowaway | transportation of habitat material (soil, vegetation, wood etc.) | tunnels and land bridges | unaided | unintentional | vehicles (car, train, etc.)","Optional on MasterList. Because the controlled vocabulary at https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf is very detailed, using the appropriate umbrella term is also acceptable: Release in nature | Escape from confinement | Transport - contaminant | Transport - stowaway | Corridor | Unaided; Note: use of the term 'unaided' in this database implies that human-influenced changes such as desertification or deforestation enabled the species to move into areas beyond its natural range, and so is considered indirect assistance."
"habitat","New term. Comma separated list of major habitat classification as defined by IUCN in which a species is known to exist.","text","Controlled vocabulary: Forest; Savanna; Shrubland; Grassland; Wetlands (inland); Rocky Areas (e.g., inland cliffs, mountain peaks); Caves & Subterranean Habitats (non-aquatic); Desert; Marine Neritic; Marine Oceanic; Marine Deep Ocean Floor (Benthic and Demersal); Marine Intertidal; Marine Coastal/Supratidal; Artificial - Terrestrial; Artificial - Aquatic; Introduced Vegetation; Other; Unknown.","Optional on MasterList. Vocabulary taken from headings here: https://www.iucnredlist.org/resources/habitat-classification-scheme"
"Biocontrol","Indication of whether the taxon was purposely introduced to control a pest species. (May be purposely introduced or accidental.)","text","Controlled vocabulary: Yes; [blank]","Optional on MasterList."
"associatedTaxa","The name(s) of associated taxa, with a description of the kind of relationship.","text","biocontrol for: Arundo donax; biocontrol for: Insecta; biocontrol for: Culicidae; biocontrol for: Opuntia; infests: Maize; parasite of: earth worms; predator of: eggs of Lymantria dispar (larvae)","Optional on MasterList. From Darwin Core. Not a controlled vocabulary. Formerly called Target Species."
"eventRemarks","Text descriptor of approximate date of introduction of the taxon to the area. May include separate authority reference if cited Authority does not contain this information.","text","approx. date of introduction: 1954; approx. date of introduction: >1951 (Reynolds (2018)); approx. date of introduction: ~400; approx. date of introduction: prior to 1780","Optional on MasterList. Occasionally derived from date of publication of the Authority. Formerly called ""Approximate Introduction Date""."
"IntroDateNumber","Consists of a 3 or 4 digit year value that is either the exact or the approximate year of introduction of the taxon to the locality. Provided for easier comparative calculations.","numeric","1954; 1952; 400; 1775","Required on MasterList only if eventRemarks has a value. If a derived value is required, these rules are followed: Remove approximation symbol (~) to get exact year. When date range is provided, choose the middle year, rounding up. E.g. 1990s = 1995, 18th century = 1750, 1968-1971 = 1970, 2000s = 2005. When ""before"", ""prior to"", or a lesser than symbol are used, subtract 5 years. When ""late"" or ""early"" are used, use the 1/5th mark, e.g., late 1800s = 1880, early 1960s = 1962. Also see our data management plan for explanation of how these numbers are calculated."
"taxonRemarks","Generally, other scientific name(s) provided by the Authority or widely in use; may be a misspelling; may be a widely preferred name. If more than one name is listed, names are separated by semicolon and space (; ). Other taxonomic notes may also appear here.","text","Other name(s): Ceratina (Ceratina) arizonensis; Rana catesbeiana; Rattus ratus","Optional on MasterList. In this dataset's predecessor, this field was called ""providedSciName"" and then ""Other Names""."
"kingdom","Largest taxonomic grouping to which the taxon belongs; we follow the seven kingdom classification system.","text","Controlled vocabulary: Animalia; Bacteria; Chromista; Fungi; Plantae; Protozoa; Virus","Required on MasterList. From Darwin Core. Currently 7 terms in use. In this dataset's predecessor, this field's name was capitalized."
"phylum","Next largest taxonomic grouping, below Kingdom.","text","Chordata; Cnideria; Tracheophyta","Required on MasterList. From Darwin Core.  We follow GBIF and ITIS where possible. Viruses are generally undefined. In this dataset's predecessor, this field was called Phylum/Division."
"class","Next largest taxonomic grouping, below Phylum.","text","Amphibia; Insecta; Trematoda","Required on MasterList. From Darwin Core. We follow GBIF and ITIS where possible. Viruses and some other groups may be undefined. In this dataset's predecessor, this field was capitalized."
"order","Next largest taxonomic grouping, below Class.","text","Brassicales; Enoplida; Hemiptera","Required on MasterList. From Darwin Core. We follow GBIF and ITIS where possible. Viruses and some other groups may be undefined. In this dataset's predecessor, this field was capitalized."
"family","Next largest taxonomic grouping, below Order.","text","Poaceae; Lumbricidae; Aphidae; Sargassaceae","Required on MasterList. From Darwin Core. We follow GBIF and ITIS where possible. Viruses and some other groups may be undefined. In this dataset's predecessor, this field was capitalized."
"taxonomicStatus","Description of the status of the scientificName, using a controlled vocabulary, indicating which authority accepts the scientificName. Occasionally a hybrid will have a value of ""n/a"", and a newly described species is so labeled.","text","Controlled vocabulary: Accepted [followed by the abbreviation for accepting organization]; n/a; newly described species","Required on MasterList. From Darwin Core. New field, not in this dataset's predecessor. Currently 13 taxonomic authorities in use: ALA (Atlas of Living Australia), GBIF (Global Biodiversity Information Facility), GNI (Global Names Index), ICTV (International Committee on Taxonomy of Viruses), IndexFungorum (Index Fungorum), ION (Index to Organism Names), IPNI (International Plant Names Index), IRMNG (Interim Register of Marine and Nonmarine Genera), ITIS (Integrated Taxonomic Information System), MCZ (Museum of Comparative Zoology at Harvard), NCBI (National Center for Biotechnology Information), uBIO (U.S. Marine Biological Laboratory at Woods Hole), WoRMS (World Register of Marine Species)."
"ITIS_TSN","ITIS Taxonomic Serial Number for the taxon, where applicable, uniquely assigned and persistent.","numeric","81; 697010; 20934","Optional on MasterList. In this dataset's predecessor, this field was called TSN."
"GBIF_taxonKey","GBIF taxon key, an identifying number for the taxon from the GBIF backbone, uniquely assigned and persistent.","numeric","2705735; 10713283","Optional on MasterList. New field, not in this dataset's predecessor."
"taxonID","An identifier for the taxonomic name recognized by the organization named in the taxonomicStatus field. May be a URN, a URL, or an identifier specific to the data set.","text","urn:lsid:itis.gov: itis_tsn:565897; https://www.gbif.org/species/1739381; disputed-1","Required on MasterList. Occasionally a hybrid name is not recognized by any taxonomic authority. In that case its taxonomicStatus = ""n/a"" and it is provided with a unique taxonID value prefixed by ""disputed"". Where a record has a new scientificName, the value here is ""pending-"" followed by a placeholder integer."
"Authority","Authoritative reference making the assertion that the taxon is non-native to the entire locality in question and established (reproducing) somewhere within the locality. Follows the format of AuthorityAuthor (DateOfPublication)","text","Abbate et al. (2018); Bishop Museum (2002a); Kraus (2009)","Required on MasterList and AuthorityReferences. Users are encouraged to email US-RIIS@usgs.gov for assistance in discovering the reference, if needed."
"WebLink","URL of the cited Authority or a way to discover the Authority.","text","https://zookeys.pensoft.net/articles.php?id=3634; Not available online; https://doi.org/10.1007/s10530-010-9800-1","Required on MasterList and AuthorityReferences. From Darwin Core. Often changes and may not be current. The full reference to the cited Authority appears only on the AuthorityReferences sheet. In this dataset's predecessor, this field was called websiteURL. Every effort is made to include a valid link to the resource. Users are encouraged to email US-RIIS@usgs.gov for assistance in discovering the reference, if needed."
"associatedReferences","A combination of the Authority and Weblink fields, or if reference is not available on line, an abbreviated citation.","text","Costello et al. (2010), https://doi.org/10.1007/s10530-010-9800-1; Coyle et al. (2008) Invasive Root-feeding Insects in Natural Forest Ecosystems of North America, Ch. 8 in: Root Feeders: An Ecosystem Perspective, CAB International, Wallingford, UK","Required on MasterList. Every effort is made to include a valid link to the resource. Users are encouraged to email US-RIIS@usgs.gov for assistance in discovering the reference, if needed."
"eventDate","Date of creation of the record (its inclusion in the dataset) in the format YYYY-MM-DD.","date",2016-06-01; 2012-09-23","Required on MasterList. Since the content of this field is not auto-generated, it is subject to human error. Previously called Acquisition Date."
"modified","Date of last change made to the record, in the format YYYY-MM-DD.","date","2021-05-17; 2016-06-01","Required on MasterList. Since the content of this field is not auto-generated, it is subject to human error. Formerly called Last Update."
"Update_Remarks","Text field describing updates to the record, with newest modifications first and semicolons separating descriptions from different dates.","text","Changed reference; Added taxonRemarks, Deleted duplicate record","Optional on MasterList."
"occurrenceRemarks","Comments about the taxon, or information extracted from the text of the Authority, often about its native range and US distribution.","text","Under eradication; Purposely introduced; spreading quickly; taxonomy undergoing change","Optional on MasterList. From Darwin Core."
"occurrenceID","An identifier for the Organism instance (at the record level). Controlled vocabulary that is manually generated using an ordinal number that is not repeated, prefixed by the dataset's abbreviated name (USRIIS), the record's locality (AK, HI, or L48), and the record's kingdom.","text","USRIIS-AK-Animalia25; USRIIS-HI-Protozoa3884; USRIIS-L48V-iruses8235","Required on MasterList. From Darwin Core. The next ordinal number is determined by sorting the list by Acquisition Date, then by scientificName, then by locality. Since the content of this field is not auto-generated, it is subject to human error. This is a new field, not used in this dataset's published predecessors."
"Source_Type","Description of the kind of Authority. Not strictly a controlled vocabulary, but a limited number of terms are in use.","text","Terms in use: Article; Book; Database; Dissertation; Ecological Risk Screening; Environmental Assessment; Factsheet; Handbook; Pest Advisory Alert; Technical Report; Website","Required on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref). Currently 11 terms in use."
"Source","Specific name of the source of the published authoritative reference.","text","Alaska Natural Heritage Program; Bishop Museum; U.S. Department of Agriculture (USDA) Natural Resources Conservation Service (NRCS)","Required on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"Version","An indication of which version of a publication has been used, used to distinguish it from other similar publications.","text","Fourth edition; undefined; v.156, No. 2","Required on AuthorityReferences, but value may be ""unknown"". FFollows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"Reference_Author","Author(s) and editor(s) of the publication.","text","Ray, Gary L.; Sherley, Greg (ed.); Washington Invasive Species Council","Required on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"Title","The identifying name of a contribution within a printed reference, such as an article contained in a journal or a chapter in a book.","text","Algaebase; Fish: introduced species","Required on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"Publication_Name","The identifying name of an overall printed reference (such as a book or journal). Occasionally this will be a repeat of the content in the Title field.","text","Agriculture Handbook; Biological Invasions; Molecular Ecology","Required on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"Listed_Publication_Date","The date printed on a journal or other printed reference, in the format YYYY-MM-YY. If month and/or day are unknown, use "01"","date","2002-03-01 (March 2002); 2019-01-01 (2019); 1999-05-09 (May 9, 1999)","Required on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"Publisher","Producer of the printed or digital reference.","text","Allen Press; Checklist; Zookeys","Required on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"Publication_Place","City, (state, and country) of the publisher, with minimal abbreviations.","text","Sofia, Bulgaria; St. Paul, Minnesota; Washington, DC","Optional on AuthorityReferences, but strongly recommended. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"ISBN","International Standard Book Number. A unique numeric identifier for books.","text","1482274329; 0-660-18165-7","Optional on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"ISSN","International Standard Serial Number. A unique numeric identifier for periodicals.","text","0380-9633; 1312-0174; ISSN 2118-1773","Optional on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"Pages","The total number of pages in the book; the page range for a journal article; or, the exact page of the relevant information.","text","1-8; 105 p.; 2","Optional on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref)."
"Publication_Remarks","Any pertinent information about the citing publication (the Authority).","text","Includes CD ROM with .xls database; hosted by http://biodiversity.uno.edu","Optional on AuthorityReferences. Follows ITIS' guidance on References for Scientific Name (https://www.itis.gov/data_definition.html#ref) for the field named Publication Comments."
